PROVIDER_ID,PROVIDER_NAME,STATE,NUMBER_OF_SUBSTANTIATED_COMPLAINTS,PATIENT_COUNT_ON_1970_08_23,COMPLAINTS_PER_100_PATIENTS
145452,ARC AT DWIGHT,IL,2,82,2.44
455959,WESTWARD TRAILS NURSING AND REHABILITATION,TX,2,82,2.44
365656,LAURELS OF NEW LONDON THE,OH,1,41,2.44
175295,SMITH CENTER HEALTH AND REHAB,KS,1,41,2.44
525334,TOMAHAWK HEALTH SERVICES,WI,1,41,2.44
495431,BEREA HEALTH & REHAB CENTER,VA,2,82,2.44
185029,RIVER OAKS POST ACUTE AND REHABILITATION CENTER,KY,2,82,2.44
165604,KEYSTONE NURSING CARE CENTER INC,IA,1,41,2.44
115709,TWIN FOUNTAINS HOME,GA,2,82,2.44
115730,OCEANSIDE CARE CENTER LLC,GA,2,82,2.44
675553,CARADAY OF QUITMAN,TX,1,41,2.44
175464,MEDICALODGES INDEPENDENCE,KS,1,41,2.44
525575,SHADY LANE NURSING CARE CENTER,WI,1,41,2.44
305086,BEDFORD NURSING & REHABILITATION CENTER,NH,2,82,2.44
495225,WESTMINSTER CANTERBURY BLUE RI,VA,1,41,2.44
455985,CLARKSVILLE NURSING HOME,TX,1,41,2.44
355108,SMP HEALTH  - MARYHILL,ND,1,41,2.44
555745,BAYSHIRE CARLSBAD,CA,1,41,2.44
155480,BROOKVILLE HEALTHCARE CENTER,IN,1,41,2.44
055846,THE TERRACES AT SAN JOAQUIN GARDENS VILLAGE,CA,1,41,2.44
535023,WESTON COUNTY HEALTH SERVICES,WY,1,41,2.44
395003,QUALITY LIFE SERVICES - NEW CASTLE,PA,3,123,2.44
175239,DIVERSICARE OF COUNCIL GROVE,KS,1,41,2.44
365552,"LAURELS OF BLANCHESTER, THE",OH,1,41,2.44
366341,WAYNE COUNTY CARE CENTER,OH,1,41,2.44
395535,LAUREL SQUARE HEALTHCARE AND REHABILITATION CENTER,PA,2,82,2.44
395633,HAVENCREST HEALTHCARE AND REHABILITATION CENTER,PA,1,41,2.44
395879,QUALITY LIFE SERVICES - MERCER,PA,1,41,2.44
105611,ASPIRE AT GREENACRES,FL,2,82,2.44
265565,PLEASANT HILL HEALTH AND REHABILITATION CENTER,MO,2,82,2.44
396082,PARK LANE POST ACUTE LLC,PA,1,41,2.44
115004,MAGNOLIA MANOR METHODIST NSG C,GA,3,123,2.44
146166,GREENFIELDS OF GENEVA,IL,1,41,2.44
045398,NORTH HILLS LIFE CARE AND REHAB,AR,2,82,2.44
335431,SAMARITAN KEEP NURSING HOME INC,NY,6,246,2.44
175210,GOOD SAMARITAN SOCIETY - PARSONS,KS,1,41,2.44
105609,NSPIRE HEALTHCARE TAMARAC,FL,3,123,2.44
075202,GEER NURSING AND REHABILITATION,CT,2,82,2.44
335582,BROOKHAVEN REHAB & HEALTH CARE CENTER L L C,NY,7,289,2.42
225312,BLACKSTONE VALLEY HEALTH AND REHABILITATION,MA,3,124,2.42
395798,TRANSITIONS HEALTHCARE GETTYSBURG,PA,3,124,2.42
105521,"AVANTE AT BOCA RATON, INC.",FL,3,124,2.42
215331,LARGO NURSING AND REHABILIATION CENTER,MD,3,124,2.42
505389,AVAMERE REHABILITATION OF CASCADE PARK,WA,2,83,2.41
175182,DELMAR GARDENS OF OVERLAND PARK,KS,2,83,2.41
145883,PIATT COUNTY NURSING HOME,IL,2,83,2.41
055074,VILLA CORONADO D/P SNF,CA,2,83,2.41
045334,THE BLOSSOMS AT NEWPORT REHAB & NURSING CENTER,AR,2,83,2.41
555216,SHARP CHULA VISTA MED CTR SNF,CA,2,83,2.41
555619,ARROYO GRANDE CARE CENTER,CA,2,83,2.41
305050,"LEBANON CENTER, GENESIS HEALTHCARE",NH,2,83,2.41
315327,FOUNTAINVIEW CARE CENTER,NJ,2,83,2.41
265647,CROWN REHAB AND HEALTHCARE CENTER,MO,2,83,2.41
155148,NORTH PARK NURSING CENTER,IN,2,83,2.41
035112,APACHE JUNCTION HEALTH CENTER,AZ,3,125,2.40
056304,MISSION CARMICHAEL HEALTHCARE CENTER,CA,3,125,2.40
345337,"PEAK RESOURCES - ALAMANCE, INC",NC,3,125,2.40
366078,"LAURELS OF MASSILLON, THE",OH,3,125,2.40
366446,MEADOW GROVE TRANSITIONAL CARE,OH,2,84,2.38
175256,OSAGE NURSING & REHABILITATION CENTER,KS,1,42,2.38
325128,ARTESIA HEALTHCARE & REHABILITATION CENTER LLC,NM,1,42,2.38
366348,VENETIAN GARDENS,OH,2,84,2.38
455536,AMISTAD NURSING AND REHABILITATION CENTER,TX,2,84,2.38
375393,"WOODVIEW HOME, INC.",OK,1,42,2.38
675373,WHISPERING SPRINGS REHABILITATION AND HEALTHCARE C,TX,1,42,2.38
375549,IGNITE MEDICAL RESORT ADAMS PARC,OK,1,42,2.38
375448,EL RENO POST-ACUTE REHABILITATION CENTER,OK,1,42,2.38
366309,"ORCHARDS OF EAST LIVERPOOL, THE",OH,1,42,2.38
265627,GARDEN VIEW CARE CENTER OF CHESTERFIELD,MO,1,42,2.38
075431,"TWIN MAPLES HEALTHCARE, INC",CT,1,42,2.38
195136,PROGRESSIVE CARE CENTER,LA,1,42,2.38
165187,GOOD SAMARITAN SOCIETY - WEST UNION,IA,1,42,2.38
165267,MAPLE HEIGHTS,IA,1,42,2.38
145769,HALLMARK HC OF CARLINVILLE,IL,1,42,2.38
435129,DELLS NURSING AND REHAB CENTER INC,SD,1,42,2.38
095020,STODDARD BAPTIST NURSING HOME,DC,2,84,2.38
105207,BEDROCK REHABILITATION AND NURSING CENTER AT MELBO,FL,3,126,2.38
555199,COAST CARE CONVALESCENT CENTER,CA,1,42,2.38
455754,NORTHEAST REHABILITATION AND HEALTHCARE CENTER,TX,2,84,2.38
455631,COLONIAL MANOR NURSING CENTER,TX,2,84,2.38
515071,SALEM CENTER,WV,2,84,2.38
175525,PARK LANE NURSING HOME,KS,1,42,2.38
146019,WABASH SENIOR LIVING & REHAB,IL,2,84,2.38
26A490,FIESER NURSING CENTER,MO,1,42,2.38
435068,AVANTARA WATERTOWN,SD,1,42,2.38
245232,CUYUNA REGIONAL MEDICAL CENTER,MN,1,42,2.38
115397,PROVIDENCE OF SPARTA HEALTH AND REHAB,GA,1,42,2.38
155785,WEST RIVER HEALTH CAMPUS,IN,1,42,2.38
525279,TUDOR OAKS HEALTH CENTER,WI,1,42,2.38
385220,REGENCY ALBANY,OR,1,42,2.38
366437,ARLINGTON POINTE,OH,2,84,2.38
215260,CHESTERTOWN NURSING AND REHAB,MD,2,84,2.38
045377,THE GREEN HOUSE COTTAGES OF SOUTHERN HILLS,AR,2,84,2.38
115636,FOUNTAIN BLUE REHAB AND NURSING,GA,2,84,2.38
035151,SABINO CANYON REHABILITATION & CARE CENTER,AZ,2,84,2.38
335555,COLD SPRING HILLS CENTER FOR NURSING AND REHAB,NY,9,382,2.36
305082,CEDAR HEALTHCARE CENTER,NH,2,85,2.35
135123,LIFE CARE CENTER OF TREASURE VALLEY,ID,2,85,2.35
505262,SHORELINE HEALTH AND REHABILITATION,WA,2,85,2.35
445452,AHC MCNAIRY COUNTY,TN,2,85,2.35
115659,LIFE CARE CTR OF LAWRENCEVILLE,GA,2,85,2.35
106117,OLIVE BRANCH HEALTH AND REHABILITATION CENTER,FL,2,85,2.35
395418,BROOKLINE NURSING AND REHAB,PA,2,85,2.35
105132,ASPIRE AT LAKESIDE OAKS,FL,2,85,2.35
115576,"OAK VIEW HOME, INC",GA,2,85,2.35
366208,RESIDENCE AT HUNTINGTON COURT,OH,2,85,2.35
035064,FOOTHILLS REHABILITATION CENTER,AZ,3,128,2.34
395345,MAPLE RIDGE REHABILITATION & HEALTHCARE CENTER,PA,2,86,2.33
395058,REST HAVEN-YORK,PA,3,129,2.33
035183,RIO VISTA POST ACUTE AND REHABILITATION,AZ,3,129,2.33
675495,LAUREL COURT,TX,2,86,2.33
175301,WICHITA PRESBYTERIAN MANOR,KS,1,43,2.33
315362,"COMPLETE CARE AT PARK PLACE, LLC",NJ,2,86,2.33
115562,"PRUITTHEALTH - HOLLY HILL, LLC",GA,2,86,2.33
245317,GOOD SAMARITAN SOCIETY - COMFORCARE,MN,1,43,2.33
115638,"CARROLLTON MANOR, INCORPORATED",GA,2,86,2.33
195522,"GOLDEN AGE OF WELSH, LLC",LA,2,86,2.33
265552,CROWLEY RIDGE CARE CENTER,MO,1,43,2.33
455960,HAYS NURSING AND REHABILITATION CENTER,TX,2,86,2.33
355063,ST LUKES HOME,ND,2,86,2.33
065292,"REHABILITATION CENTER AT SANDALWOOD, THE",CO,2,86,2.33
265385,HERITAGE HALL NURSING CENTER,MO,1,43,2.33
555444,SUNNYVALE GARDENS POST ACUTE,CA,3,129,2.33
125048,ANN PEARL NURSING FACILITY,HI,1,43,2.33
085060,FOULK LIVING,DE,1,43,2.33
445291,ERWIN HEALTH CARE CENTER,TN,2,86,2.33
175439,LIFE CARE CENTER OF SENECA,KS,1,43,2.33
285249,"ST. JOSEPH'S VILLA, INC.",NE,1,43,2.33
055568,SIERRA VALLEY REHAB CENTER,CA,3,129,2.33
225430,ST PATRICK'S MANOR,MA,6,257,2.33
056364,SUMMERFIELD HEALTH CARE CENTER,CA,1,43,2.33
265851,SILVERSTONE PLACE,MO,2,86,2.33
255118,DIVERSICARE OF MERIDIAN,MS,2,86,2.33
105365,LIFE CARE CENTER OF ALTAMONTE SPRINGS,FL,5,216,2.31
225268,CARE ONE AT NEWTON,MA,3,130,2.31
675937,SAGEBROOK NURSING AND REHABILITATION,TX,2,87,2.30
745021,LINDALE SPECIALTY CARE CENTER,TX,2,87,2.30
445314,LIFE CARE CENTER OF MORRISTOWN,TN,2,87,2.30
365654,AUSTINWOODS REHAB HEALTH CARE,OH,2,87,2.30
045364,CHAPEL RIDGE HEALTH AND REHAB,AR,2,87,2.30
115665,COASTAL MANOR,GA,2,87,2.30
225269,DAY BROOK VILLAGE SENIOR LIVING,MA,2,87,2.30
105002,BEACH STREET HEALTH AND REHABILITATION CENTER,FL,2,87,2.30
045275,THE SPRINGS OF EL DORADO,AR,2,87,2.30
465188,POINTE MEADOWS HEALTH AND REHABILITATION,UT,2,87,2.30
315235,RIVERSIDE NURSING AND REHABILITATION CENTER,NJ,3,131,2.29
106086,ASTORIA HEALTH AND REHABILITATION CENTER,FL,3,131,2.29
125019,THE CARE CENTER OF HONOLULU,HI,4,175,2.29
055571,BUENA PARK NURSING CENTER,CA,3,131,2.29
315516,ADVANCED SUBACUTE REHABILITATION CENTER AT SEWELL,NJ,3,131,2.29
205109,MARSHALL HEALTH CARE AND REHAB,ME,1,44,2.27
396089,CONCORDIA OF THE SOUTH HILLS,PA,1,44,2.27
205176,FOREST HILL MANOR,ME,1,44,2.27
676177,GARRISON NURSING HOME & REHABILITATION CENTER,TX,2,88,2.27
555420,MODOC MEDICAL CENTER D/P SNF,CA,1,44,2.27
366043,CARLISLE MANOR HEALTH CARE INC,OH,1,44,2.27
055677,PITTSBURG SKILLED NURSING CENTER,CA,1,44,2.27
675170,LA PALOMA NURSING CENTER,TX,1,44,2.27
135058,SILVERTON HEALTH AND REHABILITATION OF CASCADIA,ID,1,44,2.27
515199,SUMMERSVILLE HEALTHCARE CENTER,WV,2,88,2.27
515184,PINE VIEW NURSING AND REHABILITATION CENTER,WV,1,44,2.27
175322,GOOD SAMARITAN SOCIETY - HAYS,KS,1,44,2.27
465009,HARRISON POINTE HEALTHCARE AND REHABILITATION,UT,1,44,2.27
025021,HERITAGE PLACE,AK,1,44,2.27
165372,ELM CREST RETIREMENT COMMUNITY,IA,1,44,2.27
105259,MEDICANA NURSING AND REHAB CENTER,FL,2,88,2.27
245382,MADISON HEALTHCARE SERVICES,MN,1,44,2.27
345151,WHITE OAK MANOR - KINGS MOUNTAIN,NC,3,132,2.27
395908,"BRADFORD ECUMENICAL HOME, INC",PA,2,88,2.27
676168,RAMBLING OAKS COURTYARD EXTENSIVE CARE COMMUNITY,TX,1,44,2.27
365387,BRIAR HILL HEALTH CAMPUS,OH,1,44,2.27
225398,DEVEREUX SKILLED NURSING & REHABILITATION CENTER,MA,1,44,2.27
115377,"PRUITTHEALTH - VALDOSTA, LLC",GA,2,88,2.27
185332,GRAND HAVEN NURSING HOME,KY,1,44,2.27
315284,"COMPLETE CARE AT MONMOUTH, LLC",NJ,2,88,2.27
366291,ASTORIA HEALTH & REHAB CENTER,OH,1,44,2.27
225408,MARISTHILL NURSING & REHABILITATION CENTER,MA,2,88,2.27
445515,"NHC HEALTHCARE, TULLAHOMA",TN,2,88,2.27
366075,EMBASSY OF VALLEY VIEW,OH,1,44,2.27
115670,ROCKDALE HEALTHCARE CENTER,GA,2,88,2.27
345309,LIBERTY COMMONS NSG AND REHAB CTR OF HALIFAX CTY,NC,1,44,2.27
165354,REHABILITATION CENTER OF HAMPTON,IA,1,44,2.27
165157,CROWN POINTE ESTATES CARE CENTER,IA,2,88,2.27
105441,SUNRISE HEALTH & REHABILITATION CENTER,FL,5,221,2.26
105423,"TERRACE OF JACKSONVILLE, THE",FL,4,177,2.26
335372,"NEW VANDERBILT REHABILITATION AND CARE CENTER, INC",NY,6,265,2.26
345195,EDGECOMBE HEALTH CENTER BY HARBORVIEW,NC,3,133,2.26
185005,SPRING CREEK POST-ACUTE REHABILITATION CENTER,KY,3,133,2.26
315064,ASHBROOK CARE & REHABILITATION CENTER,NJ,2,89,2.25
245615,THE GABLES OF BOUTWELLS LANDING,MN,2,89,2.25
675002,RETAMA MANOR NURSING CENTER/SAN ANTONIO WEST,TX,2,89,2.25
495279,CULPEPER HEALTH & REHABILITATION CENTER,VA,4,178,2.25
345183,UNIVERSAL HEALTH CARE/ CONCORD,NC,2,89,2.25
075085,SAINT MARY HOME,CT,4,178,2.25
056271,MISSION PALMS HEALTHCARE CENTER,CA,2,89,2.25
335706,IRA DAVENPORT MEMORIAL HOSPITAL S N F/ H R F,NY,2,89,2.25
145358,ARISTA HEALTHCARE,IL,2,89,2.25
225265,VANTAGE AT  HAMPDEN LLC,MA,2,89,2.25
675498,HILLSIDE HEIGHTS REHABILITATION SUITES,TX,2,89,2.25
325044,MISSION ARCH CENTER,NM,2,89,2.25
055150,DIABLO VALLEY POST ACUTE,CA,4,178,2.25
225697,ELAINE CENTER AT HADLEY,MA,2,89,2.25
065245,COLUMBINE WEST HEALTH & REHAB FACILITY,CO,2,89,2.25
676344,LEGACIES NURSING AND REHABILITATION,TX,2,89,2.25
315017,BERGEN NEW BRIDGE MEDICAL CENTER,NJ,8,355,2.25
335158,OCEANSIDE CARE CENTER INC,NY,2,89,2.25
215249,FUTURE CARE HOMEWOOD,MD,3,134,2.24
105626,CHAUTAUQUA SPRINGS HEALTH CENTER,FL,3,134,2.24
105299,WHISPERING OAKS,FL,5,224,2.23
365505,VILLAGE GREEN HEALTH CAMPUS,OH,1,45,2.22
225538,ROYAL CAPE COD NURSING & REHABILITATION CENTER,MA,2,90,2.22
535045,POWELL VALLEY CARE CENTER,WY,1,45,2.22
045192,THE SPRINGS OF MT VISTA,AR,2,90,2.22
335510,FOLTSBROOK CENTER FOR NURSING AND REHABILITATION,NY,3,135,2.22
495401,TYLER'S RETREAT AT IRON BRIDGE,VA,2,90,2.22
065233,HALLMARK NURSING CENTER,CO,2,90,2.22
035100,HAVASU NURSING CENTER,AZ,1,45,2.22
055448,DINUBA HEALTHCARE,CA,2,90,2.22
155771,OTTERBEIN FRANKLIN SENIORLIFE COMM RES & COM CARE,IN,3,135,2.22
676005,PARK PLACE NURSING & REHABILITATION CENTER,TX,2,90,2.22
555570,OAKLAND HEIGHTS NURSING AND REHABILITATION,CA,1,45,2.22
015209,DIVERSICARE OF BESSEMER,AL,3,135,2.22
185254,RIDGEWAY NURSING & REHABILITATION FACILITY,KY,2,90,2.22
676306,HOLLY HALL,TX,1,45,2.22
396096,MORAVIAN VILLAGE OF BETHLEHEM,PA,1,45,2.22
245262,WEST WIND VILLAGE,MN,1,45,2.22
535033,MISSION AT CASTLE ROCK,WY,1,45,2.22
675633,HOLLAND LAKE REHABILITATION AND WELLNESS CENTER,TX,2,90,2.22
275122,CREST NURSING HOME,MT,1,45,2.22
335817,GARDEN CARE CENTER,NY,3,135,2.22
555179,NORTH POINT HEALTHCARE & WELLNESS CENTRE LP,CA,2,90,2.22
275073,FAITH LUTHERAN HOME,MT,1,45,2.22
285138,GOOD SAMARITAN SOCIETY - SYRACUSE,NE,1,45,2.22
105637,MARIANNA HEALTH AND REHABILITATION CENTER,FL,3,135,2.22
525455,RIVERSIDE,WI,2,90,2.22
425155,LANCASTER HEALTH AND REHABILITATION,SC,3,135,2.22
245307,CORNERSTONE NSG & REHAB CENTER,MN,1,45,2.22
445412,MAPLEWOOD HEALTH CARE CENTER,TN,2,90,2.22
395916,KIRKLAND VILLAGE,PA,1,45,2.22
055689,ST. CATHERINE HEALTHCARE,CA,2,90,2.22
39A437,HOLLIDAYSBURG VETERANS HOME,PA,4,180,2.22
225525,REGALCARE AT HARWICH,MA,2,90,2.22
305099,WEBSTER AT RYE,NH,1,45,2.22
265169,PIONEER SKILLED NURSING CENTER,MO,1,45,2.22
335407,PENFIELD PLACE,NY,1,45,2.22
375580,HOLIDAY HEIGHTS HEALTHCARE,OK,1,45,2.22
675042,SEYMOUR REHABILITATION AND HEALTHCARE,TX,1,45,2.22
315314,ANCHOR CARE AND REHABILITATION CENTER,NJ,3,135,2.22
675484,WOODLAND PARK NURSING & REHAB,TX,1,45,2.22
195546,BAYOU CHATEAU NURSING CTR,LA,1,45,2.22
255227,COLUMBIA REHABILITATION AND HEALTHCARE CENTER,MS,2,90,2.22
335679,ELDERWOOD AT HAMBURG,NY,3,136,2.21
055626,HEALTHCARE CENTRE OF FRESNO,CA,3,136,2.21
335637,BROOKLYN-QUEENS NURSING HOME,NY,3,136,2.21
225687,HILLCREST COMMONS NURSING & REHABILITATION CENTER,MA,5,226,2.21
155755,GOLDEN YEARS HOMESTEAD,IN,2,91,2.20
395067,GREEN RIDGE CARE CENTER,PA,2,91,2.20
106147,BLUE HERON HEALTH AND REHABILITATION,FL,2,91,2.20
315384,ROSE MOUNTAIN CARE CENTER,NJ,2,91,2.20
115482,EAST LAKE ARBOR,GA,2,91,2.20
056463,EMMANUEL POST ACUTE CARE - HAYWARD,CA,2,91,2.20
366290,FAIRLAWN HAVEN,OH,2,91,2.20
345269,AUTUMN CARE OF SALISBURY,NC,2,91,2.20
445440,GALLAWAY HEALTH AND REHAB,TN,2,91,2.20
505270,AVAMERE REHABILITATION AT PARK WEST,WA,2,91,2.20
055441,IVY CREEK HEALTHCARE & WELLNESS CENTRE,CA,2,91,2.20
105202,APOLLO HEALTHCARE & REHABILITATION CENTER,FL,2,91,2.20
675943,NEW HOPE MANOR,TX,2,91,2.20
165359,METHODIST MANOR RETIREMENT COM,IA,2,91,2.20
195597,LIVE OAK,LA,2,91,2.20
555866,SIERRA VISTA HEALTHCARE,CA,2,91,2.20
115683,PARKSIDE CENTER FOR NURSING AND REHAB AT ELLIJAY,GA,2,91,2.20
055963,THE AVENUES TRANSITIONAL CARE CENTER,CA,3,137,2.19
525497,THE PINES POST ACUTE AND MEMORY CARE,WI,1,46,2.17
265869,MCCRITE PLAZA AT BRIARCLIFF SKILLED FACILITY,MO,1,46,2.17
015397,WINDSOR HOUSE,AL,2,92,2.17
185400,HEARTHSTONE PLACE,KY,1,46,2.17
315260,ASPEN HILLS HEALTHCARE CENTER,NJ,4,184,2.17
676189,THE LEGACY AT WILLOW BEND,TX,1,46,2.17
365026,WEXNER HERITAGE HOUSE,OH,2,92,2.17
555348,GRANADA POST ACUTE,CA,2,92,2.17
395474,"LECOM AT ELMWOOD GARDENS, LLC",PA,1,46,2.17
165607,THE COTTAGES,IA,2,92,2.17
215065,BEL PRE HEALTHCARE CENTER,MD,2,92,2.17
055423,"MANNING GARDENS CARE CENTER, INC",CA,1,46,2.17
035297,SURPRISE HEALTH AND REHABILITATION CENTER,AZ,2,92,2.17
145406,RANDOLPH COUNTY CARE CENTER,IL,1,46,2.17
115363,HARBORVIEW ROME,GA,2,92,2.17
675051,LAKEVIEW REHABILITATION & HEALTHCARE CENTER,TX,1,46,2.17
676313,LAREDO NURSING AND REHABILITATION CENTER,TX,2,92,2.17
365560,FRIENDSHIP VILLAGE OF DUBLIN,OH,1,46,2.17
075246,WHITNEY REHABILITATION CARE CENTER,CT,3,138,2.17
185252,SHADY LAWN NURSING AND REHABILITATION CENTER,KY,1,46,2.17
225506,NORTH END REHABILITATION AND HEALTHCARE CENTER,MA,2,92,2.17
285212,PIONEER MANOR NURSING HOME,NE,1,46,2.17
335640,THE GRAND REHABILITATION & NURSING AT DELAWARE PAR,NY,2,92,2.17
335351,NATHAN LITTAUER HOSPITAL NURSING HOME,NY,1,46,2.17
365906,MONARCH MEADOWS NURSING AND REHABILITATION,OH,1,46,2.17
265166,"NHC HEALTHCARE, ST CHARLES",MO,2,92,2.17
366343,LEGACY NORTH ROYALTON,OH,2,92,2.17
745019,JAMES L WEST CENTER FOR DEMENTIA CARE,TX,2,92,2.17
555061,GOOD SHEPHERD HEALTH CARE CENTER OF SANTA MONICA,CA,1,46,2.17
366323,WAYSIDE FARM INC,OH,2,92,2.17
365313,BRIDGEPORT HEALTH CARE CENTER,OH,2,92,2.17
265760,FULTON MANOR CARE CENTER,MO,1,46,2.17
345194,GLENFLORA,NC,1,46,2.17
455522,TLC WEST NURSING AND REHABILITATION,TX,1,46,2.17
265646,LA BELLE MANOR CARE CENTER,MO,1,46,2.17
175562,RANCH HOUSE SENIOR LIVING LLC,KS,1,46,2.17
375545,TOWN OF VICI NURSING HOME,OK,1,46,2.17
045417,ARKANSAS VETERANS HOME AT FAYETTEVILLE,AR,1,46,2.17
175287,EUREKA NURSING CENTER,KS,1,46,2.17
255347,CHOCTAW NURSING AND REHABILITATION CENTER,MS,1,46,2.17
676173,KENEDY HEALTH & REHABILITATION,TX,1,46,2.17
335364,CUBA MEMORIAL HOSPITAL INC SNF,NY,1,46,2.17
045430,THE SPRINGS OF BRINKLEY,AR,1,46,2.17
535053,PLATTE COUNTY LEGACY HOME,WY,1,46,2.17
395790,SENECA PLACE,PA,3,138,2.17
155331,LIFE CARE CENTER OF VALPARAISO,IN,2,92,2.17
045470,SOUTHERN PINES HEALTH AND REHAB OF PRESCOTT,AR,1,46,2.17
365340,LEGACY BARBERTON,OH,2,92,2.17
395593,QUALITY LIFE SERVICES - GROVE CITY,PA,2,92,2.17
676210,FOCUSED CARE AT SUMMER PLACE,TX,2,92,2.17
255296,DESOTO HEALTHCARE CENTER,MS,2,92,2.17
676288,LAS PALMAS,TX,1,46,2.17
335255,ELM MANOR NURSING AND REHABILITATION CENTER,NY,1,46,2.17
515085,WILLOWS CENTER,WV,2,92,2.17
525396,GREENWAY MANOR,WI,1,46,2.17
395686,WEST PARK REHABILITATION AND NURSING CENTER,PA,3,139,2.16
335742,NIAGARA REHABILITATION AND NURSING CENTER,NY,3,139,2.16
075264,TOUCHPOINTS AT BLOOMFIELD,CT,3,139,2.16
315141,ABINGDON CARE & REHABILITATION CENTER,NJ,2,93,2.15
075228,ARDEN CARE CENTER,CT,4,186,2.15
315492,FALLSVIEW NURSING AND REHABILITATION CENTER,NJ,2,93,2.15
105217,NORTH BEACH HEALTHCARE AND REHABILITATION CENTER,FL,2,93,2.15
455761,MISSION NURSING & REHABILITATION CENTER,TX,2,93,2.15
225488,TREMONT HEALTH CARE CENTER,MA,2,93,2.15
365422,BROOKHAVEN NURSING & REHABILITATION CENTER,OH,2,93,2.15
345311,ROXBORO HEALTHCARE & REHAB CENTER,NC,2,93,2.15
315042,LINCOLN PARK RENAISSANCE,NJ,4,186,2.15
455599,HERITAGE PARK REHABILITATION AND SKILLED NURSING C,TX,4,187,2.14
445473,JEFFERSON COUNTY NURSING HOME,TN,3,140,2.14
105550,BROOKWOOD GARDENS REHABILITATION AND NURSING CENTE,FL,3,140,2.14
265816,SCHUYLER COUNTY NURSING HOME,MO,1,47,2.13
395176,AMBLER EXTENDED CARE CENTER,PA,2,94,2.13
035214,GOOD SAMARITAN SOCIETY-QUIBURI MISSION,AZ,1,47,2.13
365988,WILLOW BROOK CHRISTIAN HOME,OH,1,47,2.13
225225,SOUTHEAST HEALTH CARE CENTER,MA,3,141,2.13
315038,COMPLETE CARE AT SUMMIT RIDGE,NJ,3,141,2.13
366340,HARDING POINTE,OH,1,47,2.13
185286,FAIR OAKS HEALTH AND REHABILITATION,KY,2,94,2.13
056155,OAKDALE NURSING AND REHABILITATION CENTER,CA,2,94,2.13
015208,"OZARK HEALTH AND REHABILITATION, LLC",AL,3,141,2.13
345129,DAVIE NURSING AND REHABILITATION CENTER,NC,2,94,2.13
146178,VICTORIAN VILLAGE HLTH & WELL,IL,1,47,2.13
525328,COURT MANOR HEALTH SERVICES,WI,1,47,2.13
075412,LORD CHAMBERLAIN MANOR,CT,1,47,2.13
425165,MAGNOLIA MANOR - ROCK HILL,SC,2,94,2.13
175309,ARKANSAS CITY PRESBYTERIAN MANOR,KS,1,47,2.13
365893,BEREA CENTER,OH,1,47,2.13
155852,HARRISON SPRINGS HEALTH CAMPUS,IN,1,47,2.13
165795,PERRY LUTHERAN HOMES EDEN ACRES CAMPUS,IA,1,47,2.13
366271,JACKSON RIDGE REHABILITATION AND CARE CENTER,OH,1,47,2.13
415120,APPLE REHAB CLIPPER,RI,1,47,2.13
555605,GLENHAVEN HEALTHCARE,CA,1,47,2.13
385055,REEDWOOD POST ACUTE,OR,1,47,2.13
495246,WOODMONT CENTER,VA,2,94,2.13
345413,FLESHERS FAIRVIEW HEALTH CARE,NC,1,47,2.13
555701,SIMI HEALTHCARE CENTER,CA,2,94,2.13
525327,CLEMENT MANOR HEALTH CARE CENTER,WI,1,47,2.13
455697,SENIOR CARE OF CORPUS CHRISTI,TX,2,94,2.13
015109,"CIVIC CENTER HEALTH AND REHABILITATION, LLC",AL,2,94,2.13
195423,CARROLL HEALTH AND REHAB LLC,LA,1,47,2.13
235248,FRIENDSHIP VILLAGE,MI,1,47,2.13
395404,"LECOM AT PRESQUE ISLE, INC",PA,2,94,2.13
265772,STONEBRIDGE DESOTO,MO,1,47,2.13
255312,"UNION CO HEALTH AND REHAB CENTER, INC",MS,1,47,2.13
045439,GOSNELL HEALTH AND REHAB,AR,1,47,2.13
435102,MONUMENT HEALTH STURGIS CARE CENTER,SD,1,47,2.13
525599,ST JOSEPH RESIDENCE,WI,1,47,2.13
235269,WELLSPRING LUTHERAN SERVICES,MI,1,47,2.13
255262,LAURELWOOD COMMUNITY LIVING CENTER,MS,1,47,2.13
375302,"BLUE RIVER HEALTHCARE, INC",OK,1,47,2.13
555846,JOYCE EISENBERG KEEFER MEDICAL CENTER D/P SNF,CA,5,236,2.12
505204,QUEEN ANNE HEALTHCARE,WA,2,95,2.11
225463,COUNTRYSIDE HEALTH CARE OF MILFORD,MA,2,95,2.11
676176,CROWLEY NURSING AND REHABILITATION,TX,2,95,2.11
335211,GLENGARIFF HEALTH CARE CENTER,NY,5,237,2.11
105147,PINES OF SARASOTA,FL,4,190,2.11
145733,JERSEYVILLE MANOR,IL,3,142,2.11
676308,SAN GABRIEL REHABILITATION AND CARE CENTER,TX,2,95,2.11
345494,PEAK RESOURCES -  GASTONIA,NC,2,95,2.11
115132,ABERCORN REHABILITATION CENTER,GA,2,95,2.11
395018,GOOD SHEPHERD HOME RAKER CENTER,PA,2,95,2.11
345554,TRINITY GROVE,NC,2,95,2.11
175385,PARAMOUNT COMMUNITY LIVING AND REHAB INC,KS,2,95,2.11
05A134,LANDMARK MEDICAL CENTER,CA,2,95,2.11
245071,MOUNT OLIVET CAREVIEW HOME,MN,3,143,2.10
265701,ST JOE MANOR,MO,3,143,2.10
