PROVIDER_NAME,STATE,MONTH,TOTAL_NURSE_HOURS,TOTAL_PATIENT_DAYS,NURSE_HOURS_TO_PATIENT_RATIO
TACONIC REHABILITATION AND NURSING AT BEACON,NY,1970-08,520.32,122,4.26
WESTERN NEW YORK STATE VETERANS HOME,NY,1970-08,519.5,122,4.26
HOLLIS PARK MANOR NURSING HOME,NY,1970-08,315,74,4.26
BUFFALO CENTER FOR REHABILITATION AND NURSING,NY,1970-08,814.75,192,4.24
PENFIELD PLACE,NY,1970-08,191,45,4.24
ABSOLUT CTR FOR NURSING & REHAB AURORA PARK L L C,NY,1970-08,686.29,162,4.24
HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,NY,1970-08,835.25,197,4.24
MARGARET TIETZ CENTER FOR NURSING CARE INC,NY,1970-08,793.24,187,4.24
FORT HUDSON NURSING CENTER INC,NY,1970-08,779.91,184,4.24
GARDEN CARE CENTER,NY,1970-08,571.5,135,4.23
FINGER LAKES HEALTH,NY,1970-08,949.69,225,4.22
SCHUYLER HOSPITAL INC & LONG TERM CARE UNIT,NY,1970-08,329.3,78,4.22
MOUNTAINSIDE RESIDENTIAL CARE CENTER,NY,1970-08,231.5,55,4.21
"RUTLAND NURSING HOME, INC",NY,1970-08,1913.25,454,4.21
SWAN LAKE NURSING & REHABILITATION,NY,1970-08,403.5,96,4.2
DAUGHTERS OF SARAH NURSING CENTER,NY,1970-08,814.5,194,4.2
PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,NY,1970-08,2032.25,484,4.2
EDNA TINA WILSON LIVING CENTER,NY,1970-08,503.11,120,4.19
ACADIA CENTER FOR NURSING AND REHABILITATION,NY,1970-08,490.75,117,4.19
"THE BRIGHTONIAN, INC",NY,1970-08,222.09,53,4.19
ST ANNS COMMUNITY,NY,1970-08,296.66,71,4.18
MONROE COMMUNITY HOSPITAL,NY,1970-08,1612.48,386,4.18
ELIZABETH CHURCH MANOR NURSING HOME,NY,1970-08,451.13,108,4.18
TARRYTOWN HALL CARE CENTER,NY,1970-08,489.55,117,4.18
ALICE HYDE MEDICAL CENTER,NY,1970-08,492,118,4.17
THE FIVE TOWNS PREMIER REHAB & NURSING CENTER,NY,1970-08,1129.32,271,4.17
ELDERWOOD AT CHEEKTOWAGA,NY,1970-08,619.35,149,4.16
CAYUGA NURSING AND REHABILITATION CENTER,NY,1970-08,490.56,118,4.16
WILLIAMSBRIDGE CENTER FOR REHABILITATION AND NRSG,NY,1970-08,320,77,4.16
THE PINES AT CATSKILL CENTER FOR NURSING & REHAB,NY,1970-08,515.75,124,4.16
GRANDELL REHABILITATION AND NURSING CENTER,NY,1970-08,1092.2,263,4.15
COOPERSTOWN CENTER FOR REHABILITATION AND NURSING,NY,1970-08,648,156,4.15
NORWEGIAN CHRISTIAN HOME AND HEALTH CENTER,NY,1970-08,527.5,127,4.15
LONG ISLAND CARE CENTER INC,NY,1970-08,747,180,4.15
AMSTERDAM NURSING HOME CORP (1992),NY,1970-08,1604.5,388,4.14
CASA PROMESA,NY,1970-08,310.25,75,4.14
PUTNAM RIDGE,NY,1970-08,584,141,4.14
BROOKLYN CTR FOR REHAB AND RESIDENTIAL HEALTH CARE,NY,1970-08,1118.75,271,4.13
SENECA HEALTH CARE CENTER,NY,1970-08,558.13,135,4.13
BISHOP REHABILITATION AND NURSING CENTER,NY,1970-08,1082.5,262,4.13
SETON HEALTH AT SCHUYLER RIDGE RESIDENTIAL H C,NY,1970-08,466.05,113,4.12
NORTHERN METROPOLITAN RES HEALTH CARE FACILITY INC,NY,1970-08,486,118,4.12
BRONXCARE SPECIAL CARE CENTER,NY,1970-08,926.26,225,4.12
SHEEPSHEAD NURSING & REHABILITATION CENTER,NY,1970-08,821.33,200,4.11
BETH ABRAHAM CENTER FOR REHABILITATION AND NURSING,NY,1970-08,1786.25,435,4.11
HEBREW HOME FOR THE AGED AT RIVERDALE,NY,1970-08,1766.5,431,4.1
CLIFFSIDE REHAB & RESIDENTIAL HEALTH CARE CENTER,NY,1970-08,848.75,207,4.1
ALLEGRIA NURSING & REHAB CENTER OF PORT JEFFERSON,NY,1970-08,545.5,133,4.1
THE GRAND REHABILITATION AND NURSING AT MOHAWK,NY,1970-08,446.75,109,4.1
ST JOHNS HEALTH CARE CORPORATION,NY,1970-08,1219.27,299,4.08
BERKSHIRE NURSING & REHABILITATION CENTER,NY,1970-08,624.5,153,4.08
THE FRIENDLY HOME,NY,1970-08,683.35,168,4.07
AFFINITY SKILLED LIVING AND REHABILITATION CENTER,NY,1970-08,923.25,227,4.07
KATHERINE LUTHER RESIDENTIAL HLTH CARE & REHAB,NY,1970-08,411.25,101,4.07
MCAULEY RESIDENCE,NY,1970-08,597.4,147,4.06
LIVINGSTON COUNTY CENTER FOR NURSING AND REHAB,NY,1970-08,1021.47,252,4.05
UNIVERSITY CENTER FOR REHABILITATION AND NURSING,NY,1970-08,190.25,47,4.05
"HARLEM CTR FOR NURSING AND REHABILITATION, L L C",NY,1970-08,779.5,193,4.04
OAK HILL REHABILITATION AND NURSING CARE CENTER,NY,1970-08,246.25,61,4.04
CENTRAL PARK REHABILITATION AND NURSING CENTER,NY,1970-08,617.97,153,4.04
NEW YORK STATE VETERANS HOME AT MONTROSE,NY,1970-08,809.25,201,4.03
ST CAMILLUS RESIDENTIAL HEALTH CARE FACILITY,NY,1970-08,951.68,236,4.03
LATTA ROAD NURSING HOME WEST,NY,1970-08,136.56,34,4.02
LUXOR NURSING AND REHABILITATION AT MILLS POND,NY,1970-08,888,221,4.02
THE KNOLLS,NY,1970-08,76.15,19,4.01
BRONX CENTER FOR REHABILITATION & HEALTH CARE,NY,1970-08,769,192,4.01
PARK TERRACE CARE CENTER,NY,1970-08,788.25,197,4
SULLIVAN COUNTY ADULT CARE CENTER,NY,1970-08,444,111,4
PINE VALLEY CENTER FOR REHABILITATION AND NURSING,NY,1970-08,639.5,160,4
"THE NEW JEWISH HOME, MANHATTAN",NY,1970-08,1550.95,388,4
WILLOW POINT REHABILITATION AND NURSING CENTER,NY,1970-08,994,249,3.99
WESLEY HEALTH CARE CENTER INC,NY,1970-08,1156.25,290,3.99
WESTHAMPTON CARE CENTER,NY,1970-08,661.87,166,3.99
"ROCKVILLE SKILLED NURSING & REHAB CENTER, L L C",NY,1970-08,251.37,63,3.99
THE PINES AT POUGHKEEPSIE CTR FOR NURSING & REHAB,NY,1970-08,766.75,192,3.99
VAN DUYN CENTER FOR REHABILITATION AND NURSING,NY,1970-08,1749.83,439,3.99
SPLIT ROCK REHABILITION AND HEALTH CARE CENTER,NY,1970-08,899,226,3.98
BEDFORD CENTER FOR NURSING AND REHABILITATION,NY,1970-08,772.5,194,3.98
"HARRIS HILL NURSING FACILITY, L L C",NY,1970-08,659.76,166,3.97
OZANAM HALL OF QUEENS NURSING HOME INC,NY,1970-08,1421.25,358,3.97
WILKINSON RESIDENTIAL HEALTH CARE FACILITY,NY,1970-08,415.43,105,3.96
LEWIS COUNTY GENERAL HOSPITAL-NURSING HOME UNIT,NY,1970-08,490.75,124,3.96
HAYM SOLOMON HOME FOR THE AGED,NY,1970-08,909.6,230,3.95
SCHENECTADY CENTER FOR REHABILITATION AND NURSING,NY,1970-08,923.65,234,3.95
CENTRAL ISLAND HEALTHCARE,NY,1970-08,640.59,162,3.95
DUMONT CENTER FOR REHABILITATION AND NURSING CARE,NY,1970-08,739.3,187,3.95
BUENA VIDA REHAB AND NURSING CENTER,NY,1970-08,894.76,227,3.94
NYACK RIDGE REHABILITATION AND NURSING CENTER,NY,1970-08,587,149,3.94
WELLS NURSING HOME INC,NY,1970-08,355.04,90,3.94
JAMES G JOHNSTON MEMORIAL NURSING HOME,NY,1970-08,157.62,40,3.94
BROOKSIDE MULTICARE NURSING CENTER,NY,1970-08,1238.09,315,3.93
WHITE OAKS REHABILITATION AND NURSING CENTER,NY,1970-08,698.75,178,3.93
THE PINES AT UTICA CENTER FOR NURSING AND REHAB,NY,1970-08,404.25,103,3.92
OUR LADY OF MERCY LIFE CENTER,NY,1970-08,536.45,137,3.92
NEW PALTZ CENTER FOR REHABILITATION AND NURSING,NY,1970-08,301.75,77,3.92
LACONIA NURSING HOME,NY,1970-08,917.75,234,3.92
WINDSOR PARK REHAB & NURSING CENTER,NY,1970-08,231.5,59,3.92
GURWIN JEWISH NURSING AND REHABILITATION CENTER,NY,1970-08,1596.5,408,3.91
ST CABRINI NURSING HOME,NY,1970-08,1121.3,287,3.91
"CLOVE LAKES HEALTH CARE AND REHAB CENTER, INC",NY,1970-08,1522,390,3.9
"OASIS REHABILITATION AND NURSING, LLC",NY,1970-08,366.75,94,3.9
SOLDIERS AND SAILORS MEMORIAL HOSPITAL E C U,NY,1970-08,417.72,107,3.9
VALLEY VIEW MANOR NURSING HOME,NY,1970-08,292.25,75,3.9
MARY MANNING WALSH NURSING HOME CO INC,NY,1970-08,1315.8,338,3.89
SAMARITAN KEEP NURSING HOME INC,NY,1970-08,955.24,246,3.88
THE GRAND REHABILITATION AND NURSING AT PAWLING,NY,1970-08,415.5,107,3.88
NORTH COUNTRY NURSING & REHABILITATION CENTER,NY,1970-08,512,132,3.88
TOWNHOUSE CENTER FOR REHABILITATION & NURSING,NY,1970-08,1025.32,265,3.87
THE VALLEY VIEW CENTER FOR NURSING CARE AND REHAB,NY,1970-08,884.75,229,3.86
GHENT REHABILITATION & NURSING CENTER,NY,1970-08,436.3,113,3.86
UNITED HELPERS CANTON NURSING HOME,NY,1970-08,331.14,86,3.85
EDDY MEMORIAL GERIATRIC CENTER,NY,1970-08,300.15,78,3.85
CORTLANDT HEALTHCARE,NY,1970-08,419,109,3.84
QUEENS BOULEVARD EXTENDED CARE FACILITY,NY,1970-08,1041.5,271,3.84
NORTH GATE HEALTH CARE FACILITY,NY,1970-08,718.39,187,3.84
AARON MANOR REHABILITATION AND NURSING CENTER,NY,1970-08,495.59,129,3.84
DRY HARBOR NURSING HOME,NY,1970-08,1334.44,348,3.83
REGEIS CARE CENTER,NY,1970-08,838.32,219,3.83
CORNING CENTER FOR REHABILITATION AND HEALTHCARE,NY,1970-08,448.5,117,3.83
ONEIDA CENTER FOR REHABILITATION AND NURSING,NY,1970-08,443.75,116,3.83
BENSONHURST CENTER FOR REHAB AND HEALTHCARE,NY,1970-08,761.31,199,3.83
EASTCHESTER REHABILITATION AND HEALTH CARE CENTER,NY,1970-08,592.88,155,3.83
MEADOWBROOK CARE CENTER,NY,1970-08,1000.09,262,3.82
FULTON CENTER FOR REHABILITATION AND HEALTHCARE,NY,1970-08,618.25,162,3.82
EDEN REHABILITATION NURSING CENTER,NY,1970-08,129.9,34,3.82
GLEN ARDEN INC,NY,1970-08,137.56,36,3.82
YORKTOWN REHABILITATION & NURSING CENTER,NY,1970-08,428,112,3.82
SAPPHIRE NURSING AT MEADOW HILL,NY,1970-08,632.75,166,3.81
LORETTO HEALTH AND REHABILITATION CENTER,NY,1970-08,2147.75,563,3.81
RESORT NURSING HOME,NY,1970-08,776.78,204,3.81
"SUSQUEHANNA NURSING & REHABILITATION CENTER, L L C",NY,1970-08,544.78,143,3.81
THE GRAND REHABILITATION AND NRSG AT RIVER VALLEY,NY,1970-08,569.5,150,3.8
SPRINGVALE NURSING & REHABILITATION CENTER,NY,1970-08,680.8,179,3.8
BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE,NY,1970-08,841,222,3.79
THE PINES AT GLENS FALLS CTR FOR NURSING & REHAB,NY,1970-08,416.5,110,3.79
THE GRAND PAVILION FOR RHB & NRSG AT ROCKVILLE CTR,NY,1970-08,568.85,150,3.79
SOUTH SHORE REHABILITATION AND NURSING CENTER,NY,1970-08,367.75,97,3.79
THE GRAND REHABILITATION AND NURSING AT BARNWELL,NY,1970-08,815.75,216,3.78
JEWISH HOME OF CENTRAL NEW YORK,NY,1970-08,476.66,126,3.78
LINDEN CENTER FOR NURSING AND REHABILITATION,NY,1970-08,1048,277,3.78
WASHINGTON CENTER FOR REHAB AND HEALTHCARE,NY,1970-08,442.5,117,3.78
EPIC REHABILITATION AND NURSING AT WHITE PLAINS,NY,1970-08,543.5,144,3.77
ST PATRICKS HOME,NY,1970-08,988.75,262,3.77
MASSAPEQUA CENTER REHABILITATION & NURSING,NY,1970-08,1111.78,295,3.77
NEW YORK CENTER FOR REHABILITATION & NURSING,NY,1970-08,1048,278,3.77
NORWICH REHABILITATION & NURSING CENTER,NY,1970-08,278.15,74,3.76
GLENDALE HOME-SCHDY CNTY DEPT SOCIAL SERVICES,NY,1970-08,713.75,190,3.76
THE HAMLET REHABILITATION AND HEALTHCARE CENTER AT,NY,1970-08,857.23,228,3.76
UNITED HEBREW GERIATRIC CENTER,NY,1970-08,655.5,175,3.75
WAYNE COUNTY NURSING HOME,NY,1970-08,521.5,139,3.75
MIDDLETOWN PARK REHAB & HEALTH CARE CENTER,NY,1970-08,830,222,3.74
BETHANY NURSING HOME & HEALTH RELATED FACILITY INC,NY,1970-08,358.93,96,3.74
ADIRA AT RIVERSIDE REHABILITATION AND NURSING,NY,1970-08,452.25,121,3.74
BETHANY GARDENS SKILLED LIVING CENTER,NY,1970-08,362.63,97,3.74
GUTHRIE CORTLAND MEDICAL CENTER,NY,1970-08,239.5,64,3.74
THE OSBORN,NY,1970-08,272,73,3.73
THE HURLBUT,NY,1970-08,443.96,119,3.73
SEA CREST NURSING AND REHABILITATION CENTER,NY,1970-08,1010.57,271,3.73
"NEW VANDERBILT REHABILITATION AND CARE CENTER, INC",NY,1970-08,986.16,265,3.72
ST JOSEPH'S HOSPITAL - SKILLED NURSING FACILITY,NY,1970-08,286.5,77,3.72
SHORE VIEW NURSING  & REHABILITATION CENTER,NY,1970-08,1051.42,283,3.72
ELDERWOOD OF LAKESIDE AT BROCKPORT,NY,1970-08,371.85,100,3.72
CHAPIN HOME FOR THE AGING,NY,1970-08,543,146,3.72
WESTCHESTER CENTER FOR REHABILITATION & NURSING,NY,1970-08,811.75,219,3.71
OCEANSIDE CARE CENTER INC,NY,1970-08,330,89,3.71
QUEENS NASSAU REHABILITATION AND NURSING CENTER,NY,1970-08,732.52,198,3.7
MENORAH HOME & HOSPITAL FOR AGED & INFIRM,NY,1970-08,1593.35,431,3.7
NORTHERN MANOR GERIATRIC CENTER INC,NY,1970-08,841,228,3.69
LONG BEACH NURSING AND REHABILITATION CENTER,NY,1970-08,494.1,134,3.69
CORTLAND PARK REHABILITATION AND NURSING CENTER,NY,1970-08,413.11,112,3.69
ONEIDA HEALTH REHABILITATION AND EXTENDED CARE,NY,1970-08,486.96,132,3.69
HUNTINGTON HILLS CTR FOR HEALTH AND REHABILITATION,NY,1970-08,1082.5,294,3.68
BROOKLYN GARDENS NURSING & REHABILITATION CENTER,NY,1970-08,835.73,227,3.68
"NEW GLEN OAKS NURSING HOME, INC",NY,1970-08,232.02,63,3.68
IDEAL SENIOR LIVING CENTER,NY,1970-08,411.75,112,3.68
NOTTINGHAM R H C F,NY,1970-08,143.5,39,3.68
BROOKLYN-QUEENS NURSING HOME,NY,1970-08,500.72,136,3.68
FRANKLIN CENTER FOR REHABILITATION AND NURSING,NY,1970-08,1167.5,317,3.68
HUDSON VALLEY REHABILITATION & EXTENDED CARE CTR,NY,1970-08,331,90,3.68
ELDERWOOD AT LOCKPORT,NY,1970-08,371.28,101,3.68
IROQUOIS NURSING HOME INC,NY,1970-08,537.03,146,3.68
TERESIAN HOUSE NURSING HOME CO INC,NY,1970-08,1006.5,274,3.67
THE PAVILION AT QUEENS FOR REHABILITATION & NRSING,NY,1970-08,1085.04,296,3.67
DALEVIEW CARE CENTER,NY,1970-08,432,118,3.66
ALPINE REHABILITATION AND NURSING CENTER,NY,1970-08,282.2,77,3.66
SPRING CREEK REHABILITATION & NURSING CARE CENTER,NY,1970-08,684.29,187,3.66
FOX RUN AT ORCHARD PARK,NY,1970-08,183.17,50,3.66
ST JAMES REHABILITATION & HEALTHCARE CENTER,NY,1970-08,831.49,227,3.66
SENECA HILL MANOR INC,NY,1970-08,413.75,113,3.66
HOLLISWOOD CTR FOR REHABILITATION AND HEALTHCARE,NY,1970-08,1097.5,301,3.65
TERENCE CARDINAL COOKE HEALTH CARE CENTER,NY,1970-08,1945.59,533,3.65
ELDERWOOD AT WILLIAMSVILLE,NY,1970-08,489.48,134,3.65
TROY VICTORIAN REHABILITATION & NURSING CARE CNTR,NY,1970-08,398.3,109,3.65
MARTINE CENTER FOR REHABILITATION AND NURSING,NY,1970-08,693.25,190,3.65
VESTAL PARK REHABILITATION AND NURSING CENTER,NY,1970-08,573.61,157,3.65
MEDINA MEMORIAL HOSPITAL S N F,NY,1970-08,109.25,30,3.64
CARILLON NURSING AND REHABILITATION CENTER,NY,1970-08,966.98,266,3.64
GLEN COVE CENTER FOR NURSING AND REHABILITATION,NY,1970-08,539,148,3.64
ISABELLA GERIATRIC CENTER INC,NY,1970-08,2512.8,690,3.64
GARDEN GATE HEALTH CARE FACILITY,NY,1970-08,586.21,161,3.64
AVON NURSING HOME L L C,NY,1970-08,142,39,3.64
SILVER LAKE SPECIALIZED REHAB AND CARE CENTER,NY,1970-08,686.5,189,3.63
"SUNSET NURSING AND REHABILITATION CENTER, INC",NY,1970-08,373.91,103,3.63
ELDERWOOD AT NORTH CREEK,NY,1970-08,192.28,53,3.63
FIDDLERS GREEN MANOR REHAB AND NURSING CENTER,NY,1970-08,272.04,75,3.63
SUTTON PARK CENTER FOR NURSING AND REHABILITATION,NY,1970-08,558.75,154,3.63
ACHIEVE REHAB AND NURSING FACILITY,NY,1970-08,478,132,3.62
WELLSVILLE MANOR CARE CENTER,NY,1970-08,408.25,113,3.61
FOUR SEASONS NURSING AND REHABILITATION CENTER,NY,1970-08,888.1,246,3.61
SAN SIMEON BY THE SOUND CENTER FOR NURSING & REHAB,NY,1970-08,396.76,110,3.61
LITTLE NECK CARE CENTER,NY,1970-08,388.86,108,3.6
SCHOELLKOPF HEALTH CENTER,NY,1970-08,410.5,114,3.6
HILLSIDE MANOR REHAB & EXTENDED CARE CENTER,NY,1970-08,1348.5,376,3.59
LOCKPORT REHAB & HEALTH CARE CENTER,NY,1970-08,276.25,77,3.59
FORT TRYON CENTER FOR REHABILITATION AND NURSING,NY,1970-08,724,202,3.58
CREST MANOR LIVING AND REHABILITATION CENTER,NY,1970-08,261.5,73,3.58
MASONIC CARE COMMUNITY OF NEW YORK,NY,1970-08,939.75,263,3.57
"LEROY VILLAGE GREEN RESIDENTIAL HEALTH C F, INC",NY,1970-08,475.25,133,3.57
SHAKER PLACE REHABILITATION AND NURSING CENTER,NY,1970-08,868,243,3.57
NORTHWOODS REHAB AND NURSING CENTER AT MORAVIA,NY,1970-08,132.25,37,3.57
FOREST VIEW CENTER FOR REHABILITATION & NURSING,NY,1970-08,570.25,160,3.56
REGO PARK NURSING HOME,NY,1970-08,719.25,202,3.56
METHODIST HOME FOR NURSING AND REHABILITATION,NY,1970-08,415.25,117,3.55
HAMILTON PARK NURSING AND REHABILITATION CENTER,NY,1970-08,709.75,200,3.55
VERRAZANO NURSING AND POST-ACUTE CENTER,NY,1970-08,354.66,100,3.55
UPPER EAST SIDE REHABILITATION AND NURSING CENTER,NY,1970-08,1495.67,422,3.54
COBBLE HILL HEALTH CENTER INC,NY,1970-08,1220.83,345,3.54
PENINSULA NURSING AND REHABILITATION CENTER,NY,1970-08,623.02,176,3.54
ONONDAGA CENTER FOR REHABILITATION AND NURSING,NY,1970-08,246.75,70,3.53
FOREST HILLS CARE CENTER,NY,1970-08,306,87,3.52
BELLHAVEN CENTER FOR REHAB AND NURSING CARE,NY,1970-08,808.65,230,3.52
RIVER RIDGE LIVING CENTER,NY,1970-08,387.5,110,3.52
VAN RENSSELAER MANOR,NY,1970-08,853.25,243,3.51
WATERVIEW HILLS REHABILITATION AND NURSING CENTER,NY,1970-08,396.5,113,3.51
"THE COMMONS ON ST ANTHONY, A S N F & SHORT T R C",NY,1970-08,1036.75,295,3.51
PREMIER GENESEE CENTER FOR NRSG AND REHABILITATION,NY,1970-08,522.5,149,3.51
LUTHERAN CENTER AT POUGHKEEPSIE INC,NY,1970-08,516.05,147,3.51
NEWARK MANOR NURSING HOME INC,NY,1970-08,185.55,53,3.5
OXFORD NURSING HOME,NY,1970-08,756.9,217,3.49
TACONIC REHABILITATION AND NURSING AT ULSTER,NY,1970-08,338.94,97,3.49
SCHAFFER EXTENDED CARE CENTER,NY,1970-08,487.78,140,3.48
SPRAIN BROOK MANOR REHAB,NY,1970-08,379.25,109,3.48
GOLD CREST CARE CENTER,NY,1970-08,588.25,169,3.48
"NEW CARLTON REHAB AND NURSING CENTER, L L C",NY,1970-08,451.12,130,3.47
CHEMUNG COUNTY HEALTH CENTER - NURSING FACILITY,NY,1970-08,486.07,140,3.47
"WILLIAMSVILLE SUBURBAN, L L C",NY,1970-08,561.11,162,3.46
ROSS CENTER FOR NURSING AND REHABILITATION,NY,1970-08,415.12,120,3.46
BAPTIST HEALTH NURSING AND REHABILITATION CENTER,NY,1970-08,682.5,197,3.46
THE GRAND REHABILITATION AND NRSG AT CHITTENANGO,NY,1970-08,262.5,76,3.45
TRIBORO CENTER FOR REHABILITATION AND NURSING,NY,1970-08,1357.37,394,3.45
NORTHERN MANHATTAN REHABILITATION AND NURSING CTR,NY,1970-08,1070.25,310,3.45
HOPKINS CENTER FOR REHABILITATION AND HEALTHCARE,NY,1970-08,1001.25,290,3.45
CANTERBURY WOODS,NY,1970-08,148,43,3.44
NASSAU REHABILITATION & NURSING CENTER,NY,1970-08,924.89,269,3.44
AUBURN REHABILITATION & NURSING CENTER,NY,1970-08,282,82,3.44
BEACH GARDENS REHAB AND NURSING CENTER,NY,1970-08,539.25,157,3.43
ELDERWOOD AT GRAND ISLAND,NY,1970-08,281.17,82,3.43
ORCHARD REHABILITATION & NURSING CENTER,NY,1970-08,463.5,135,3.43
SUNHARBOR MANOR,NY,1970-08,872.18,254,3.43
THE EMERALD PEEK REHABILITATION AND NURSING CENTER,NY,1970-08,297.73,87,3.42
CONCORD NURSING AND REHABILITATION CENTER,NY,1970-08,454.75,133,3.42
RIVER VIEW REHABILITATION AND NURSING CARE CENTER,NY,1970-08,256.75,75,3.42
PINE HAVEN HOME,NY,1970-08,369.5,108,3.42
STEUBEN CENTER FOR REHABILITATION AND HEALTHCARE,NY,1970-08,344.05,101,3.41
THE GRAND REHABILITATION AND NURSING AT QUEENS,NY,1970-08,572.75,168,3.41
SANS SOUCI REHABILITATION AND NURSING CENTER,NY,1970-08,385.45,113,3.41
ANDRUS ON HUDSON,NY,1970-08,659,193,3.41
UTICA REHABILITATION & NURSING CENTER,NY,1970-08,378.5,111,3.41
ABSOLUT CTR FOR NURSING & REHAB ENDICOTT L L C,NY,1970-08,517.9,152,3.41
"WOODCREST REHAB & RESIDENTIAL H C CENTER, L L C",NY,1970-08,680,200,3.4
PRESBYTERIAN HOME FOR CENTRAL NEW YORK INC,NY,1970-08,364.25,107,3.4
ELDERWOOD AT LANCASTER,NY,1970-08,309.32,91,3.4
YONKERS GARDENS CENTER FOR NURSING AND REHAB,NY,1970-08,635.88,187,3.4
SANDS POINT CENTER FOR HEALTH AND REHABILITATION,NY,1970-08,541.15,159,3.4
WORKMENS CIRCLE MULTICARE CENTER,NY,1970-08,1774.71,523,3.39
"SENECA NURSING & REHABILITATION CENTER, L L C",NY,1970-08,213.83,63,3.39
PARK AVENUE EXTENDED CARE FACILITY,NY,1970-08,702.59,207,3.39
MEADOW PARK REHABILITATION AND HEALTH CENTER L L C,NY,1970-08,443.77,131,3.39
HEMPSTEAD PARK NURSING HOME,NY,1970-08,722.25,214,3.38
THE HERITAGE REHABILITATION AND HEALTH CARE CENTER,NY,1970-08,236.81,70,3.38
"PARKVIEW CARE AND REHABILITATION CENTER, INC",NY,1970-08,460.21,136,3.38
ROBINSON TERRACE,NY,1970-08,374.18,111,3.37
FERNCLIFF NURSING HOME CO INC,NY,1970-08,917.38,272,3.37
HIGHLAND PARK REHABILITATION AND NURSING CENTER,NY,1970-08,256.25,76,3.37
SODUS REHABILITATION & NURSING CENTER,NY,1970-08,350.6,104,3.37
BEACON REHABILITATION AND NURSING CENTER,NY,1970-08,367.13,109,3.37
ROCHESTER COMMUNITY NURSING AND REHABILITATION CTR,NY,1970-08,261.75,78,3.36
SAINTS JOACHIM & ANNE NURSING AND REHAB CENTER,NY,1970-08,564.22,168,3.36
SMITHTOWN CENTER FOR REHABILITATION & NURSING CARE,NY,1970-08,530.29,158,3.36
FISHKILL CENTER FOR REHABILITATION AND NURSING,NY,1970-08,470,140,3.36
BRONX GARDENS REHABILITATION AND NURSING CENTER,NY,1970-08,644.25,192,3.36
ABSOLUT CTR FOR NURSING & REHAB GASPORT L L C,NY,1970-08,259.02,77,3.36
THE WILLOWS AT RAMAPO REHAB AND NURSING CENTER,NY,1970-08,617.5,184,3.36
DELMAR CENTER FOR REHABILITATION AND NURSING,NY,1970-08,375.25,112,3.35
APEX REHABILITATION & CARE CENTER,NY,1970-08,603.81,180,3.35
CAMPBELL HALL REHABILITATION CENTER INC,NY,1970-08,375.15,112,3.35
BEACH TERRACE CARE CENTER,NY,1970-08,566.35,169,3.35
OUR LADY OF PEACE NURSING CARE RESIDENCE,NY,1970-08,408.03,122,3.34
ROCKAWAY CARE CENTER,NY,1970-08,678.78,203,3.34
NEW EAST SIDE NURSING HOME,NY,1970-08,187.25,56,3.34
HAMILTON MANOR NURSING HOME,NY,1970-08,113.66,34,3.34
HUDSON HILL CENTER FOR REHABILITATION & NURSING,NY,1970-08,959.75,287,3.34
WARREN CENTER FOR REHABILITATION AND NURSING,NY,1970-08,263.5,79,3.34
ELDERWOOD AT HORNELL,NY,1970-08,327.5,98,3.34
BAINBRIDGE NURSING & REHABILITATION CENTER,NY,1970-08,653.57,196,3.33
COLONIAL PARK REHABILITATION AND NURSING CENTER,NY,1970-08,253,76,3.33
CEDAR MANOR NURSING & REHABILITATION CENTER,NY,1970-08,483.42,145,3.33
TEN BROECK COMMONS,NY,1970-08,838.1,252,3.33
A HOLLY PATTERSON EXTENDED CARE FACILITY,NY,1970-08,1536.25,461,3.33
MEADOWBROOK HEALTHCARE,NY,1970-08,790.59,239,3.31
SLATE VALLEY CENTER FOR REHABILITATION AND NURSING,NY,1970-08,268.5,81,3.31
WATERVILLE RESIDENTIAL CARE CENTER,NY,1970-08,281.73,85,3.31
ROSCOE REGIONAL REHAB & RESIDENTIAL H C F,NY,1970-08,248.25,75,3.31
HIGHLAND CARE CENTER,NY,1970-08,1052.42,318,3.31
FULTON COMMONS CARE CENTER INC,NY,1970-08,879.5,266,3.31
THE ENCLAVE AT RYE  REHAB AND NURSING CTR,NY,1970-08,497.65,151,3.3
NORTHEAST CTR FOR REHABILITATION AND BRAIN INJURY,NY,1970-08,858.58,260,3.3
UNION PLAZA CARE CENTER,NY,1970-08,883.9,268,3.3
NIAGARA REHABILITATION AND NURSING CENTER,NY,1970-08,458.9,139,3.3
SAPPHIRE NURSING AND REHAB AT GOSHEN,NY,1970-08,372.5,113,3.3
"BETSY ROSS REHABILITATION CENTER, INC",NY,1970-08,329.75,100,3.3
CHESTNUT PARK REHABILITATION AND NURSING CENTER,NY,1970-08,263.75,80,3.3
KINGS HARBOR MULTICARE CENTER,NY,1970-08,2087.99,632,3.3
ELDERWOOD OF UIHLEIN AT LAKE PLACID,NY,1970-08,389.66,118,3.3
ARCHCARE AT PROVIDENCE REST,NY,1970-08,647.47,197,3.29
SAPPHIRE NURSING AT WAPPINGERS,NY,1970-08,184.3,56,3.29
BETHEL NURSING HOME COMPANY INC,NY,1970-08,115.21,35,3.29
SUNRISE MANOR CTR FOR NURSING AND REHABILITATION,NY,1970-08,240.25,73,3.29
