PROVIDER_NAME,STATE,MONTH,TOTAL_HOURS_WORKED
THE ELMS REHAB AND HEALTHCARE CENTER OF CRANBURY,NJ,1970-08,367.71
THE SUBACUTE AT AUTUMN LAKE HEALTHCARE,NJ,1970-08,358.77
TOTAL REHAB MOORESTOWN,NJ,1970-08,590.25
TOWER LODGE CARE CENTER,NJ,1970-08,182.45
TRENTON GARDENS REHABILITATION AND NURSING CENTER,NJ,1970-08,508.66
TRINITAS HOSPITAL,NJ,1970-08,328.12
TROY HILLS CENTER,NJ,1970-08,314.48
UNITED METHODIST COMMUNITIES AT BRISTOL GLEN,NJ,1970-08,231.2
UNITED METHODIST COMMUNITIES AT COLLINGSWOOD,NJ,1970-08,250.41
UNITED METHODIST COMMUNITIES AT PITMAN,NJ,1970-08,215.69
UNITED METHODIST COMMUNITIES AT THE SHORES,NJ,1970-08,238.99
VALLEY VIEW REHABILITATION AND HEALTHCARE CTR,NJ,1970-08,60.44
"VENETIAN CARE & REHABILITATION CENTER, THE",NJ,1970-08,420.27
VILLAGE POINT,NJ,1970-08,406.67
VOORHEES PEDIATRIC FACILITY,NJ,1970-08,632.45
WARREN HAVEN REHAB AND NURSING CENTER,NJ,1970-08,186.93
WATERFRONT REHABILITATION AND HEALTHCARE CENTER,NJ,1970-08,405.26
WEDGWOOD GARDENS CARE CENTER,NJ,1970-08,391.02
WHITE HOUSE HEALTHCARE AND REHABILITATION CENTER,NJ,1970-08,527.85
WHITING GARDENS REHABILITATION AND NURSING CENTER,NJ,1970-08,471.82
WILEY MISSION,NJ,1970-08,263.22
WILLOW SPRINGS REHABILITATION AND HEALTHCARE CTR,NJ,1970-08,507.5
WILLOWBROOKE COURT SKILLED CARE AT EVERGREENS,NJ,1970-08,57.22
WINCHESTER GARDENS HEALTH CARE CENTER,NJ,1970-08,194.5
WOODCLIFF LAKE HEALTH & REHABILITATION CENTER,NJ,1970-08,386.67
WYNWOOD REHABILITATION AND HEALTHCARE CENTER,NJ,1970-08,410.78
ADVANCED HEALTH CARE OF ALBUQUERQUE,NM,1970-08,219.49
ALBUQUERQUE HEIGHTS HEALTHCARE AND REHABILITATION,NM,1970-08,444.61
ARTESIA HEALTHCARE & REHABILITATION CENTER LLC,NM,1970-08,214.54
AZTEC HEALTHCARE,NM,1970-08,273.99
BEAR CANYON REHABILITATION CENTER,NM,1970-08,484.32
BELEN MEADOWS HEALTHCARE AND REHABILITATION CENTER,NM,1970-08,370.56
BLOOMFIELD NURSING AND REHABILITATION CENTER,NM,1970-08,257.1
"CALIBRE POST ACUTE, LLC",NM,1970-08,370.4
"CANYON TRANSITIONAL REHABILITATION CENTER, LLC",NM,1970-08,258.67
CASA ARENA HEALTHCARE LLC,NM,1970-08,329.46
CASA DE ORO CENTER,NM,1970-08,381.49
CASA DEL SOL CENTER,NM,1970-08,189.08
CASA MARIA HEALTHCARE,NM,1970-08,273.01
CASA REAL,NM,1970-08,294.28
CEDAR RIDGE INN,NM,1970-08,343.69
CLAYTON NURSING AND REHAB,NM,1970-08,100.11
CLOVIS HEALTHCARE AND REHABILITATION CENTER,NM,1970-08,154.75
COLFAX GENERAL LTC,NM,1970-08,73
CORONADO CARE CENTER,NM,1970-08,202.5
DESERT SPRINGS HEALTH CARE,NM,1970-08,227.3
FIESTA PARK WELLNESS & REHABILITATION,NM,1970-08,362.52
FORT BAYARD MEDICAL CENTER,NM,1970-08,635.78
GALLUP NURSING & REHABILITATION LLC,NM,1970-08,203.64
GOOD SAMARITAN SOCIETY - GRANTS,NM,1970-08,108.96
GOOD SAMARITAN SOCIETY - MANZANO DEL SOL,NM,1970-08,241.54
GOOD SAMARITAN SOCIETY - SOCORRO,NM,1970-08,153.05
GOOD SAMARITAN SOCIETY BETTY DARE,NM,1970-08,179.78
GOOD SAMARITAN SOCIETY LAS CRUCES VILLAGE,NM,1970-08,267.92
LA VIDA BUENA HEALTHCARE,NM,1970-08,290.81
LA VIDA LLENA,NM,1970-08,171.67
LADERA CENTER,NM,1970-08,359.8
LAGUNA RAINBOW NURSING CENTER,NM,1970-08,149.2
LAS CRUCES WELLNESS & REHABILITATION LLC,NM,1970-08,166.45
LAS ESTANCIAS BY PURE HEALTH,NM,1970-08,449.25
LAS PALOMAS CENTER,NM,1970-08,311.35
LIFE CARE CENTER OF FARMINGTON,NM,1970-08,298.92
LOS ALAMOS WELLNESS & REHABILITATION,NM,1970-08,159.65
LOVINGTON HEALTH CARE,NM,1970-08,173.48
MIMBRES MEMORIAL NURSING HOME,NM,1970-08,148.36
MINERS COLFAX MEDICAL CENTER,NM,1970-08,139.2
MISSION ARCH CENTER,NM,1970-08,304.35
NEW MEXICO STATE VETERANS HOME,NM,1970-08,505.82
NORTHGATE UNIT OF LAKEVIEW CHRISTIAN HOME,NM,1970-08,303.73
ODELIA HEALTHCARE,NM,1970-08,446.97
PALOMA SPRINGS HEALTHCARE LLC,NM,1970-08,281.53
PRINCETON HEALTH & REHABILITATION,NM,1970-08,712.25
RED ROCKS CARE CENTER,NM,1970-08,258.48
RETIREMENT RANCHES INC.,NM,1970-08,413.7
RIO RANCHO CENTER,NM,1970-08,343.71
SAN JUAN CARE CENTER,NM,1970-08,303.17
SANDIA RIDGE CENTER,NM,1970-08,432.05
SANTA FE CARE CENTER,NM,1970-08,270.1
SILVER CITY CARE CENTER,NM,1970-08,235.86
SKIES HEALTHCARE & REHABILITATION CENTER,NM,1970-08,276.43
SPANISH TRAILS REHABILITATION SUITES,NM,1970-08,400.88
ST ANTHONY HEALTHCARE AND REHAB CENTER,NM,1970-08,162.7
SUNSET VILLA HEALTHCARE,NM,1970-08,130.47
TAOS HEALTHCARE,NM,1970-08,205.01
THE NEIGHBORHOOD IN RIO RANCHO,NM,1970-08,286.98
THE NM BEHAVIORAL HEALTH INSTITUTE AT LAS VEGAS,NM,1970-08,179.92
THE REHABILITATION CENTER OF ALBUQUERQUE,NM,1970-08,416.29
THE SUITES RIO VISTA,NM,1970-08,307.53
THE VILLAGE AT NORTHRISE - DESERT WILLOW I,NM,1970-08,128.48
UPTOWN REHABILITATION CENTER,NM,1970-08,394.72
"WELBROOK SENIOR LIVING, LLC",NM,1970-08,131.11
WHITE SANDS HEALTHCARE,NM,1970-08,325.5
ADVANCED HEALTH CARE OF HENDERSON,NV,1970-08,223.43
ADVANCED HEALTH CARE OF LAS VEGAS,NV,1970-08,226.48
ADVANCED HEALTH CARE OF PARADISE,NV,1970-08,233.19
ADVANCED HEALTH CARE OF RENO,NV,1970-08,193.58
ADVANCED HEALTH CARE OF SUMMERLIN,NV,1970-08,217.27
ALPINE SKILLED NURSING AND REHABILITATION CENTER,NV,1970-08,444.66
ALTA SKILLED NURSING AND REHABILITATION CENTER,NV,1970-08,534.69
BATTLE MOUNTAIN GENERAL HOSPITAL,NV,1970-08,0
BOULDER CITY HOSPITAL SNF,NV,1970-08,166.8
CANYON VISTA POST ACUTE,NV,1970-08,523.8
"CAREMERIDIAN LLC, DBA NEURORESTORATIVE",NV,1970-08,203.07
CARSON NURSING AND REHABILITATION CENTER,NV,1970-08,197.94
CARSON TAHOE TRANSITIONAL REHABILITATION CENTER,NV,1970-08,259.9
COLLEGE PARK REHABILITATION CENTER,NV,1970-08,404.68
CORONADO RIDGE SKILLED NURSING & REHABILITATION,NV,1970-08,542.89
DELMAR GARDENS OF GREEN VALLEY,NV,1970-08,663.76
EL JEN SKILLED CARE,NV,1970-08,548
GARDNERVILLE HEALTH & REHABILITATION CENTER,NV,1970-08,136.75
GREEN VALLEY HEALTH AND WELLNESS SUITES,NV,1970-08,330.68
GROVER C DILS MEDICAL CENTER SNF,NV,1970-08,89
HARMON HOSPITAL - SNF,NV,1970-08,55.07
HARMONY MANOR SKILLED NURSING FACILITY,NV,1970-08,180.15
HEARTHSTONE,NV,1970-08,346.52
HENDERSON HEALTH AND REHABILITATION,NV,1970-08,827.07
HIGHLAND MANOR OF ELKO REHABILITATION LLC,NV,1970-08,258.8
HIGHLAND MANOR OF FALLON REHABILITATION LLC,NV,1970-08,245.78
HIGHLAND MANOR OF MESQUITE REHABILITATION LLC,NV,1970-08,270.99
HORIZON HEALTH AND REHABILITATION CENTER,NV,1970-08,436.45
LAS VEGAS POST ACUTE & REHABILITATION,NV,1970-08,231.3
LAS VENTANAS RETIREMENT COMM SNF,NV,1970-08,306.12
LEFA SERAN SNF,NV,1970-08,126.75
LIFE CARE CENTER OF LAS VEGAS,NV,1970-08,574.92
LIFE CARE CENTER OF RENO,NV,1970-08,443.74
LIFE CARE CENTER OF SOUTH LAS VEGAS,NV,1970-08,392.48
MARQUIS CARE AT CENTENNIAL HILLS,NV,1970-08,431.55
MARQUIS PLAZA REGENCY POST ACUTE REHAB,NV,1970-08,621.02
MISSION PINES NURSING AND REHAB CENTER,NV,1970-08,588.43
MISSION POINT NURSING & PHYSICAL REHAB CTR CH,NV,1970-08,118.34
MOUNTAIN VIEW CARE CENTER,NV,1970-08,261.96
MOUNTAIN VIEW HEALTH & REHABILITATION CENTER,NV,1970-08,336
NEURORESTORATIVE,NV,1970-08,238.56
NEURORESTORATIVE 4KIDS -BUFFALO,NV,1970-08,195.7
NEVADA STATE VETERANS HOME - BOULDER CITY,NV,1970-08,619.83
NORTH LAS VEGAS CARE CENTER,NV,1970-08,558.53
NORTHERN NEVADA STATE VETERANS HOME,NV,1970-08,525.65
ORMSBY POST ACUTE REHABILITATION,NV,1970-08,345.75
PAHRUMP HEALTH AND REHABILITATION CENTER,NV,1970-08,291
PERSHING GENERAL HOSPITAL SNF,NV,1970-08,108.89
"PREMIER HEALTH & REHABILITATION CENTER OF LV, LP",NV,1970-08,298.52
ROSEWOOD REHABILITATION CENTER,NV,1970-08,316.67
ROYAL SPRINGS HEALTHCARE AND REHAB,NV,1970-08,549
SAGE CREEK POST-ACUTE,NV,1970-08,266.09
SAINT JOSEPH TRANSITIONAL REHABILITATION CENTER,NV,1970-08,332.74
SANDSTONE SPRING VALLEY,NV,1970-08,670.1
SILVER HILLS HEALTH CARE CENTER,NV,1970-08,469.25
SILVER RIDGE HEALTHCARE CENTER,NV,1970-08,556.47
SILVER STATE PEDIATRIC SKILLED NURSING FACILITY,NV,1970-08,188.86
SOUTH LYON MEDICAL CENTER,NV,1970-08,119.69
SPANISH HILLS WELLNESS SUITES,NV,1970-08,482.06
"THE HEIGHTS OF SUMMERLIN, LLC",NV,1970-08,628.42
TLC CARE CENTER,NV,1970-08,805.72
TORREY PINES POST ACUTE AND REHABILITATION,NV,1970-08,297.71
TRELLIS CENTENNIAL,NV,1970-08,293.89
TRELLIS PARADISE,NV,1970-08,261.19
WHITE PINE CARE CENTER,NV,1970-08,133.49
WINGFIELD SKILLED NURSING AND REHABILITATION CENTE,NV,1970-08,404.62
A HOLLY PATTERSON EXTENDED CARE FACILITY,NY,1970-08,1536.25
AARON MANOR REHABILITATION AND NURSING CENTER,NY,1970-08,495.59
ABSOLUT CTR FOR NURSING & REHAB ALLEGANY L L C,NY,1970-08,93.78
ABSOLUT CTR FOR NURSING & REHAB AURORA PARK L L C,NY,1970-08,686.29
ABSOLUT CTR FOR NURSING & REHAB ENDICOTT L L C,NY,1970-08,517.9
ABSOLUT CTR FOR NURSING & REHAB GASPORT L L C,NY,1970-08,259.02
ABSOLUT CTR FOR NURSING & REHAB THREE RIVERS L L C,NY,1970-08,291.46
ABSOLUT CTR FOR NURSING & REHAB WESTFIELD L L C,NY,1970-08,255.89
ACADIA CENTER FOR NURSING AND REHABILITATION,NY,1970-08,490.75
ACHIEVE REHAB AND NURSING FACILITY,NY,1970-08,478
ADIRA AT RIVERSIDE REHABILITATION AND NURSING,NY,1970-08,452.25
AFFINITY SKILLED LIVING AND REHABILITATION CENTER,NY,1970-08,923.25
ALICE HYDE MEDICAL CENTER,NY,1970-08,492
ALLEGRIA NURSING & REHAB CENTER OF PORT JEFFERSON,NY,1970-08,545.5
ALPINE REHABILITATION AND NURSING CENTER,NY,1970-08,282.2
AMSTERDAM NURSING HOME CORP (1992),NY,1970-08,1604.5
ANDRUS ON HUDSON,NY,1970-08,659
APEX REHABILITATION & CARE CENTER,NY,1970-08,603.81
ARCHCARE AT PROVIDENCE REST,NY,1970-08,647.47
ATRIUM CENTER FOR REHABILITATION AND NURSING,NY,1970-08,922.48
AUBURN REHABILITATION & NURSING CENTER,NY,1970-08,282
AURELIA OSBORN FOX MEMORIAL HOSPITAL,NY,1970-08,441.25
AUTUMN VIEW HEALTH CARE FACILITY L L C,NY,1970-08,630.61
AVON NURSING HOME L L C,NY,1970-08,142
BAINBRIDGE NURSING & REHABILITATION CENTER,NY,1970-08,653.57
BAPTIST HEALTH NURSING AND REHABILITATION CENTER,NY,1970-08,682.5
BAYBERRY NURSING HOME,NY,1970-08,229.75
BEACH GARDENS REHAB AND NURSING CENTER,NY,1970-08,539.25
BEACH TERRACE CARE CENTER,NY,1970-08,566.35
BEACON REHABILITATION AND NURSING CENTER,NY,1970-08,367.13
BEDFORD CENTER FOR NURSING AND REHABILITATION,NY,1970-08,772.5
BEECHTREE CENTER FOR REHABILITATION AND NURSING,NY,1970-08,293.12
BEECHWOOD HOMES,NY,1970-08,913.02
BELAIR CARE CENTER INC,NY,1970-08,438.5
BELLHAVEN CENTER FOR REHAB AND NURSING CARE,NY,1970-08,808.65
BENSONHURST CENTER FOR REHAB AND HEALTHCARE,NY,1970-08,761.31
BERKSHIRE NURSING & REHABILITATION CENTER,NY,1970-08,624.5
BETH ABRAHAM CENTER FOR REHABILITATION AND NURSING,NY,1970-08,1786.25
BETHANY GARDENS SKILLED LIVING CENTER,NY,1970-08,362.63
BETHANY NURSING HOME & HEALTH RELATED FACILITY INC,NY,1970-08,358.93
BETHEL NURSING HOME COMPANY INC,NY,1970-08,115.21
"BETSY ROSS REHABILITATION CENTER, INC",NY,1970-08,329.75
BEZALEL REHABILITATION AND NURSING CENTER,NY,1970-08,337.97
BISHOP REHABILITATION AND NURSING CENTER,NY,1970-08,1082.5
BORO PARK CENTER FOR REHABILITATION AND HEALTHCARE,NY,1970-08,2086
BRIARCLIFF MANOR CENTER FOR REHAB AND NURSING CARE,NY,1970-08,350.38
BRIDGE VIEW NURSING HOME,NY,1970-08,615.25
BRIDGEWATER CENTER FOR REHAB & NURSING L L C,NY,1970-08,967.72
BRONX CENTER FOR REHABILITATION & HEALTH CARE,NY,1970-08,769
BRONX GARDENS REHABILITATION AND NURSING CENTER,NY,1970-08,644.25
BRONX PARK REHABILITATION & NURSING CENTER,NY,1970-08,656.25
BRONXCARE SPECIAL CARE CENTER,NY,1970-08,926.26
BROOKHAVEN HEALTH CARE FACILITY L L C,NY,1970-08,712.29
BROOKHAVEN REHAB & HEALTH CARE CENTER L L C,NY,1970-08,700.5
BROOKLYN CTR FOR REHAB AND RESIDENTIAL HEALTH CARE,NY,1970-08,1118.75
BROOKLYN GARDENS NURSING & REHABILITATION CENTER,NY,1970-08,835.73
BROOKLYN UNITED METHODIST CHURCH HOME,NY,1970-08,352.75
BROOKLYN-QUEENS NURSING HOME,NY,1970-08,500.72
BROOKSIDE MULTICARE NURSING CENTER,NY,1970-08,1238.09
BROTHERS OF MERCY NURSING & REHABILITATION CENTER,NY,1970-08,958.44
BUENA VIDA REHAB AND NURSING CENTER,NY,1970-08,894.76
BUFFALO CENTER FOR REHABILITATION AND NURSING,NY,1970-08,814.75
BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE,NY,1970-08,841
CAMPBELL HALL REHABILITATION CENTER INC,NY,1970-08,375.15
CANTERBURY WOODS,NY,1970-08,148
CAPSTONE CENTER FOR REHABILITATION AND NURSING,NY,1970-08,294
CARILLON NURSING AND REHABILITATION CENTER,NY,1970-08,966.98
CARMEL RICHMOND HEALTHCARE AND REHAB CENTER,NY,1970-08,965.25
CARTHAGE CENTER FOR REHABILITATION AND NURSING,NY,1970-08,255.23
CASA PROMESA,NY,1970-08,310.25
"CATON PARK REHAB AND NURSING CENTER, L L C",NY,1970-08,346.33
CAYUGA NURSING AND REHABILITATION CENTER,NY,1970-08,490.56
CEDAR MANOR NURSING & REHABILITATION CENTER,NY,1970-08,483.42
CENTRAL ISLAND HEALTHCARE,NY,1970-08,640.59
CENTRAL PARK REHABILITATION AND NURSING CENTER,NY,1970-08,617.97
CENTRAL QUEENS REHAB & NURSING CENTER,NY,1970-08,591.7
CHAMPLAIN VALLEY PHYSICIANS HOSP MED CTR S N F,NY,1970-08,172.5
CHAPIN HOME FOR THE AGING,NY,1970-08,543
CHARLES T SITRIN HEALTH CARE CENTER INC,NY,1970-08,794.88
CHASEHEALTH REHAB AND RESIDENTIAL CARE,NY,1970-08,207.64
CHAUTAUQUA NURSING AND REHABILITATION CENTER,NY,1970-08,455.45
CHEMUNG COUNTY HEALTH CENTER - NURSING FACILITY,NY,1970-08,486.07
CHESTNUT PARK REHABILITATION AND NURSING CENTER,NY,1970-08,263.75
CLIFFSIDE REHAB & RESIDENTIAL HEALTH CARE CENTER,NY,1970-08,848.75
CLIFTON SPRINGS HOSPITAL AND CLINIC EXTENDED CARE,NY,1970-08,546.38
CLINTON COUNTY NURSING HOME,NY,1970-08,160.75
"CLOVE LAKES HEALTH CARE AND REHAB CENTER, INC",NY,1970-08,1522
COBBLE HILL HEALTH CENTER INC,NY,1970-08,1220.83
COLD SPRING HILLS CENTER FOR NURSING AND REHAB,NY,1970-08,1848
COLER REHABILITATION AND NURSING CARE CENTER,NY,1970-08,2369.91
COLONIAL PARK REHABILITATION AND NURSING CENTER,NY,1970-08,253
COMPREHENSIVE REHAB & NURSING CTR AT WILLIAMSVILLE,NY,1970-08,485.38
CONCORD NURSING AND REHABILITATION CENTER,NY,1970-08,454.75
CONCOURSE REHABILITATION AND NURSING CENTER INC,NY,1970-08,742.7
CONESUS LAKE NURSING HOME,NY,1970-08,143.48
COOPERSTOWN CENTER FOR REHABILITATION AND NURSING,NY,1970-08,648
CORNING CENTER FOR REHABILITATION AND HEALTHCARE,NY,1970-08,448.5
CORTLAND PARK REHABILITATION AND NURSING CENTER,NY,1970-08,413.11
CORTLANDT HEALTHCARE,NY,1970-08,419
CREST MANOR LIVING AND REHABILITATION CENTER,NY,1970-08,261.5
CROUSE COMMUNITY CENTER INC,NY,1970-08,466.81
CROWN HEIGHTS CENTER FOR NURSING AND REHAB,NY,1970-08,864.25
CROWN PARK REHABILITATION AND NURSING CENTER,NY,1970-08,543.25
CUBA MEMORIAL HOSPITAL INC SNF,NY,1970-08,205.55
CYPRESS GARDEN CENTER FOR NURSING AND REHAB,NY,1970-08,806.18
DALEVIEW CARE CENTER,NY,1970-08,432
DAUGHTERS OF SARAH NURSING CENTER,NY,1970-08,814.5
DEGRAFF MEMORIAL HOSPITAL-SKILLED NURSING FACILITY,NY,1970-08,329.5
DELHI REHABILITATION AND NURSING CENTER,NY,1970-08,493
DELMAR CENTER FOR REHABILITATION AND NURSING,NY,1970-08,375.25
DITMAS PARK CARE CENTER,NY,1970-08,1033.64
DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER,NY,1970-08,850.42
DR SUSAN SMITH MCKINNEY NURSING AND REHAB CENTER,NY,1970-08,1630.9
DRY HARBOR NURSING HOME,NY,1970-08,1334.44
DUMONT CENTER FOR REHABILITATION AND NURSING CARE,NY,1970-08,739.3
DUNKIRK REHABILITATION & NURSING CENTER,NY,1970-08,116.5
EAST HAVEN NURSING & REHABILITATION CENTER,NY,1970-08,624.46
EAST NECK NURSING & REHABILITATION CENTER,NY,1970-08,800.7
EAST SIDE NURSING HOME,NY,1970-08,163.25
EASTCHESTER REHABILITATION AND HEALTH CARE CENTER,NY,1970-08,592.88
EDDY HERITAGE HOUSE NURSING AND REHABILITATION CTR,NY,1970-08,478.05
EDDY MEMORIAL GERIATRIC CENTER,NY,1970-08,300.15
EDDY VILLAGE GREEN,NY,1970-08,833.76
EDDY VILLAGE GREEN AT BEVERWYCK,NY,1970-08,122.15
EDEN REHABILITATION NURSING CENTER,NY,1970-08,129.9
EDNA TINA WILSON LIVING CENTER,NY,1970-08,503.11
EGER HEALTH CARE AND REHABILITATION CENTER,NY,1970-08,1036.49
ELCOR NURSING  AND REHABILITATION CENTER,NY,1970-08,912.66
ELDERWOOD AT AMHERST,NY,1970-08,321.83
ELDERWOOD AT CHEEKTOWAGA,NY,1970-08,619.35
ELDERWOOD AT GRAND ISLAND,NY,1970-08,281.17
ELDERWOOD AT HAMBURG,NY,1970-08,419.52
ELDERWOOD AT HORNELL,NY,1970-08,327.5
ELDERWOOD AT LANCASTER,NY,1970-08,309.32
ELDERWOOD AT LIVERPOOL,NY,1970-08,491.05
ELDERWOOD AT LOCKPORT,NY,1970-08,371.28
ELDERWOOD AT NORTH CREEK,NY,1970-08,192.28
ELDERWOOD AT TICONDEROGA,NY,1970-08,204.2
ELDERWOOD AT WAVERLY,NY,1970-08,525.9
ELDERWOOD AT WHEATFIELD,NY,1970-08,362.2
ELDERWOOD AT WILLIAMSVILLE,NY,1970-08,489.48
ELDERWOOD OF LAKESIDE AT BROCKPORT,NY,1970-08,371.85
ELDERWOOD OF UIHLEIN AT LAKE PLACID,NY,1970-08,389.66
ELIZABETH CHURCH MANOR NURSING HOME,NY,1970-08,451.13
ELIZABETH SETON CHILDREN'S CENTER,NY,1970-08,1633.33
ELLICOTT CENTER FOR REHABILITATION AND NURSING,NY,1970-08,704.25
ELLIS RESIDENTIAL & REHABILITATION CENTER,NY,1970-08,261.25
ELM MANOR NURSING AND REHABILITATION CENTER,NY,1970-08,141.7
ELMHURST CARE CENTER INC,NY,1970-08,639.35
EMERGE NURSING AND REHABILITATION AT GLEN COVE,NY,1970-08,373.25
EPIC REHABILITATION AND NURSING AT WHITE PLAINS,NY,1970-08,543.5
ESSEX CENTER FOR REHABILITATION AND HEALTHCARE,NY,1970-08,292.75
EVERGREEN COMMONS REHABILITATION AND NURSING CTR,NY,1970-08,739.21
"EXCEL AT WOODBURY FOR REHAB AND NURSING, L L C",NY,1970-08,463.25
FAIRPORT BAPTIST HOMES,NY,1970-08,542.38
FAIRVIEW NURSING CARE CENTER INC,NY,1970-08,1116
FAR ROCKAWAY CENTER FOR REHABILITATION AND NURSING,NY,1970-08,313
FATHER BAKER MANOR,NY,1970-08,688.06
FERNCLIFF NURSING HOME CO INC,NY,1970-08,917.38
FIDDLERS GREEN MANOR REHAB AND NURSING CENTER,NY,1970-08,272.04
FIELDSTON LODGE CARE CENTER,NY,1970-08,758.27
FINGER LAKES CENTER FOR LIVING,NY,1970-08,229.9
FINGER LAKES HEALTH,NY,1970-08,949.69
FISHKILL CENTER FOR REHABILITATION AND NURSING,NY,1970-08,470
FOLTSBROOK CENTER FOR NURSING AND REHABILITATION,NY,1970-08,394.5
FORDHAM NURSING AND REHABILITATION CENTER,NY,1970-08,673.72
FOREST HILLS CARE CENTER,NY,1970-08,306
FOREST VIEW CENTER FOR REHABILITATION & NURSING,NY,1970-08,570.25
FORT HUDSON NURSING CENTER INC,NY,1970-08,779.91
FORT TRYON CENTER FOR REHABILITATION AND NURSING,NY,1970-08,724
FOUR SEASONS NURSING AND REHABILITATION CENTER,NY,1970-08,888.1
FOX RUN AT ORCHARD PARK,NY,1970-08,183.17
FRANKLIN CENTER FOR REHABILITATION AND NURSING,NY,1970-08,1167.5
"FRIEDWALD CENTER FOR REHAB AND NURSING, L L C",NY,1970-08,708.25
FULTON CENTER FOR REHABILITATION AND HEALTHCARE,NY,1970-08,618.25
FULTON COMMONS CARE CENTER INC,NY,1970-08,879.5
GARDEN CARE CENTER,NY,1970-08,571.5
GARDEN GATE HEALTH CARE FACILITY,NY,1970-08,586.21
GHENT REHABILITATION & NURSING CENTER,NY,1970-08,436.3
GLEN ARDEN INC,NY,1970-08,137.56
GLEN COVE CENTER FOR NURSING AND REHABILITATION,NY,1970-08,539
GLEN ISLAND CENTER FOR NURSING AND REHABILITATION,NY,1970-08,542
GLENDALE HOME-SCHDY CNTY DEPT SOCIAL SERVICES,NY,1970-08,713.75
GLENGARIFF HEALTH CARE CENTER,NY,1970-08,742.5
GLENS FALLS CENTER FOR REHABILITATION AND NURSING,NY,1970-08,499.55
GOLD CREST CARE CENTER,NY,1970-08,588.25
GOLDEN GATE REHABILITATION & HEALTH CARE CENTER,NY,1970-08,163.37
GOLDEN HILL NURSING AND REHABILITATION CENTER,NY,1970-08,817
GOOD SAMARITAN NURSING AND REHABILITATION CARE CTR,NY,1970-08,225.93
GOOD SHEPHERD VILLAGE AT ENDWELL,NY,1970-08,153.77
GOOD SHEPHERD-FAIRVIEW HOME INC,NY,1970-08,209.6
GOWANDA REHABILITATION AND NURSING CENTER,NY,1970-08,499
GRANDELL REHABILITATION AND NURSING CENTER,NY,1970-08,1092.2
GRANVILLE CENTER FOR REHABILITATION AND NURSING,NY,1970-08,320.25
GREENE MEADOWS NURSING AND REHABILITATION CENTER,NY,1970-08,351.5
GREENFIELD HEALTH & REHAB CENTER,NY,1970-08,857.46
GROTON COMMUNITY HEALTH CARE CTR RES CARE FAC,NY,1970-08,308.5
GURWIN JEWISH NURSING AND REHABILITATION CENTER,NY,1970-08,1596.5
GUTHRIE CORTLAND MEDICAL CENTER,NY,1970-08,239.5
HAMILTON MANOR NURSING HOME,NY,1970-08,113.66
HAMILTON PARK NURSING AND REHABILITATION CENTER,NY,1970-08,709.75
"HARLEM CTR FOR NURSING AND REHABILITATION, L L C",NY,1970-08,779.5
"HARRIS HILL NURSING FACILITY, L L C",NY,1970-08,659.76
"HAVEN MANOR HEALTH CARE CENTER, L L C",NY,1970-08,381.75
HAYM SOLOMON HOME FOR THE AGED,NY,1970-08,909.6
HEBREW HOME FOR THE AGED AT RIVERDALE,NY,1970-08,1766.5
HELEN HAYES HOSPITAL R H C F,NY,1970-08,102.5
HELEN HAYES HOSPITAL T C U,NY,1970-08,89
HEMPSTEAD PARK NURSING HOME,NY,1970-08,722.25
HENRY J CARTER SKILLED NURSING FACILITY,NY,1970-08,1001.85
HERITAGE GREEN REHAB & SKILLED NURSING,NY,1970-08,294.71
HERITAGE PARK REHAB & SKILLED NURSING,NY,1970-08,357.2
HERITAGE VILLAGE REHAB AND SKILLED NURSING INC.,NY,1970-08,236.8
HIGHBRIDGE WOODYCREST CENTER,NY,1970-08,247.31
HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,NY,1970-08,835.25
HIGHLAND CARE CENTER,NY,1970-08,1052.42
HIGHLAND PARK REHABILITATION AND NURSING CENTER,NY,1970-08,256.25
HIGHLAND REHABILITATION AND NURSING CENTER,NY,1970-08,36.1
HIGHLANDS LIVING CENTER,NY,1970-08,294.73
HIGHPOINTE ON MICHIGAN HEALTH CARE FACILITY,NY,1970-08,1468.2
HILLSIDE MANOR REHAB & EXTENDED CARE CENTER,NY,1970-08,1348.5
HOLLIS PARK MANOR NURSING HOME,NY,1970-08,315
HOLLISWOOD CTR FOR REHABILITATION AND HEALTHCARE,NY,1970-08,1097.5
HOPE CENTER FOR H I V AND NURSING CARE,NY,1970-08,193.25
HOPKINS CENTER FOR REHABILITATION AND HEALTHCARE,NY,1970-08,1001.25
HOUGHTON REHABILITATION & NURSING CENTER,NY,1970-08,224.4
HUDSON HILL CENTER FOR REHABILITATION & NURSING,NY,1970-08,959.75
HUDSON PARK REHABILITATION AND NURSING CENTER,NY,1970-08,500.85
HUDSON POINTE AT RIVERDALE CTR FOR NURSING & REHAB,NY,1970-08,438.25
HUDSON VALLEY REHABILITATION & EXTENDED CARE CTR,NY,1970-08,331
HUMBOLDT HOUSE REHABILITATION AND NURSING CENTER,NY,1970-08,519
HUNTINGTON HILLS CTR FOR HEALTH AND REHABILITATION,NY,1970-08,1082.5
IDEAL SENIOR LIVING CENTER,NY,1970-08,411.75
