PROVIDER_NAME,STATE,MONTH,NURSE_HOURS_TO_PATIENT_RATIO,OCCUPANCY_RATE_PCT
ELY MANOR,MI,1970-08,2.67,98.02
EVANGELICAL HOME - SALINE,MI,1970-08,4.78,76.22
EVERGREEN HEALTH AND REHABILITATION CENTER,MI,1970-08,4.17,86.63
EVERGREEN MANOR SENIOR CARE CE,MI,1970-08,3.14,94.51
FAIRLANE SENIOR CARE AND REHAB CENTER,MI,1970-08,3.51,77.05
FAIRVIEW NURSING AND REHABILITATION COMMUNITY,MI,1970-08,3.46,67.19
FAITH HAVEN SENIOR CARE CENTRE,MI,1970-08,3.13,91.36
"FATHER MURRAY, A VILLA CENTER",MI,1970-08,2.7,92.64
FENTON HEALTHCARE,MI,1970-08,3.88,64.13
FISHER SENIOR CARE AND REHAB,MI,1970-08,3.48,84.91
FOUNTAIN BLEU HEALTH AND REHABILITATION CENTER,MI,1970-08,4.13,87.04
FOUNTAIN VIEW OF MONROE,MI,1970-08,3.79,87.40
FOUR CHAPLAINS NRSG CARE CTR,MI,1970-08,2.8,89.58
FOUR SEASONS NURSING CENTER OF WESTLAND,MI,1970-08,3.77,92.22
FOX RUN VILLAGE,MI,1970-08,5.46,86.36
FRASER VILLA,MI,1970-08,4.33,62.99
FREEMAN NURSING & REHAB COMMUNITY,MI,1970-08,3.87,76.92
FRIENDSHIP VILLAGE,MI,1970-08,4.65,82.46
FROH COMMUNITY HOME,MI,1970-08,2.24,93.85
GILBERT RESIDENCE (THE),MI,1970-08,3.41,100.00
GLACIER HILLS,MI,1970-08,3.75,35.24
GLADWIN NURSING AND REHABILITATION COMMUNITY,MI,1970-08,3.37,66.67
GLADWIN PINES NURSING AND REHABILITATION CENTER,MI,1970-08,4.21,90.48
GOGEBIC MEDICAL CARE FACILITY,MI,1970-08,4.15,76.00
GRAND OAKS NURSING CENTER,MI,1970-08,3.37,82.28
GRAND TRAVERSE PAVILIONS,MI,1970-08,4.64,70.42
GRANDVUE MEDICAL CARE FACILITY,MI,1970-08,3.69,84.07
GRAYLING NURSING & REHAB COMMUNITY,MI,1970-08,3.53,72.22
GREAT LAKES REHAB CENTER,MI,1970-08,0.19,98.18
GREENFIELD REHAB AND NURSING CENTER,MI,1970-08,2.92,76.19
GREENTREE OF HUBBELL REHAB AND HEALTH,MI,1970-08,2.75,92.73
HAMILTON NURSING HOME,MI,1970-08,3.69,90.63
HAMPTON NURSING AND REHAB,MI,1970-08,3.32,84.31
HAROLD AND GRACE UPJOHN COMMUNITY CARE CENTER,MI,1970-08,3.38,90.00
HARTFORD NURSING & REHABILITATION CENTER,MI,1970-08,4.3,92.55
HAZEL I FINDLAY COUNTRY MANOR,MI,1970-08,0,52.67
HEALTHBRIDGE POST-ACUTE REHABILITATION,MI,1970-08,4.09,96.92
"HEALTHSOURCE SAGINAW, INC",MI,1970-08,3.36,75.12
HEARTWOOD LODGE TRINITY HEALTH,MI,1970-08,4.19,90.48
HELEN NEWBERRY JOY HLTCU GOLDEN LEAVES LIVING CTR,MI,1970-08,4.72,58.97
HERITAGE MANOR NURSING AND REHAB CENTER,MI,1970-08,3.18,74.59
HERITAGE NURSING AND REHABILITATION COMMUNITY,MI,1970-08,3.23,94.87
HICKORY RIDGE OF TEMPERANCE,MI,1970-08,3.02,90.91
HILLCREST NURSING AND REHABILITATION COMMUNITY,MI,1970-08,4.09,92.31
HILLSDALE CO MEDICAL CARE FACI,MI,1970-08,4.87,70.59
HILLSDALE HOSPITAL MCGUIRE AND MACRITCHIE LTCU,MI,1970-08,5.14,84.21
HOLLAND HOME - RAYBROOK MANOR,MI,1970-08,4.81,89.11
HOLLAND HOME BRETON REHABILITATION & LIVING CENTRE,MI,1970-08,5.53,74.14
"HOLT SENIOR CARE AND REHAB CENTER, L L C",MI,1970-08,3.52,83.17
HOYT NURSING & REHAB CENTRE,MI,1970-08,3.41,60.16
HURON CO MED CARE FACILITY,MI,1970-08,4.82,75.00
HURON WOODS NURSING CENTER,MI,1970-08,4.1,80.00
IHM SENIOR LIVING COMMUNITY,MI,1970-08,4.57,89.66
"IMPERIAL, A VILLA CENTER",MI,1970-08,3.98,86.42
INGHAM COUNTY MEDICAL CARE FAC,MI,1970-08,3.86,55.93
"INN AT FREEDOM VILLAGE, THE",MI,1970-08,7.95,46.15
IOSCO CO MEDICAL CARE FACILITY,MI,1970-08,5.19,62.82
IRON CO MEDICAL CARE FACILITY,MI,1970-08,3.93,57.00
IRON RIVER CARE CENTER,MI,1970-08,0,86.96
ISABELLA CO MEDICAL CARE FACIL,MI,1970-08,5.73,86.00
JACKSON COUNTY MEDICAL CARE FACILITY,MI,1970-08,4.96,96.39
JAMIESON NURSING HOME,MI,1970-08,3.35,51.28
KALKASKA MEMORIAL HEALTH CENTER,MI,1970-08,5.02,78.85
KING NURSING & REHABILITATION COMMUNITY,MI,1970-08,3.99,65.57
KITH HAVEN,MI,1970-08,3.44,80.50
LAHSER HILLS CARE CENTRE,MI,1970-08,2.57,82.68
LAKE ORION NURSING CENTER,MI,1970-08,4.2,65.83
LAKE WOODS NURSING & REHABILITATION CENTER,MI,1970-08,3.49,92.22
LAKELAND CENTER (THE),MI,1970-08,3.1,76.92
"LAKEPOINTE SENIOR CARE AND REHAB CENTER, L L C",MI,1970-08,3.75,91.79
LAKESIDE MANOR NURSING AND REHABILITATION CENTER,MI,1970-08,2.75,77.27
LAKEVIEW EXTENDED CARE AND REHAB,MI,1970-08,4.68,93.33
LAKEVIEW MANOR HEALTHCARE CENTER,MI,1970-08,4.16,91.67
LAPEER COUNTY MEDICAL CARE FAC,MI,1970-08,3.13,75.25
LAURELS OF BEDFORD (THE),MI,1970-08,2.82,83.74
LAURELS OF CARSON CITY,MI,1970-08,3.19,96.34
"LAURELS OF COLDWATER,THE",MI,1970-08,3.21,71.60
"LAURELS OF FULTON,THE",MI,1970-08,3.24,82.00
LAURELS OF GALESBURG (THE),MI,1970-08,3.34,82.80
LAURELS OF HUDSONVILLE (THE),MI,1970-08,2.88,89.81
LAURELS OF KENT (THE),MI,1970-08,2.56,62.09
LAURELS OF MT. PLEASANT (THE),MI,1970-08,3.51,93.00
LAURELS OF SANDY CREEK (THE),MI,1970-08,2.81,63.64
LENAWEE MEDICAL CARE FACILITY,MI,1970-08,4.35,97.60
LIFE CARE CENTER OF PLAINWELL,MI,1970-08,3.82,67.23
LINCOLN HAVEN NURSING AND REHABILITATION COMMUNITY,MI,1970-08,2.6,71.79
LIVONIA WOODS NURSING AND REHABILITATION,MI,1970-08,7.92,8.33
LOURDES REHABILITATION AND HEALTHCARE CENTER,MI,1970-08,3.47,80.00
LYNWOOD MANOR HEALTHCARE CENTER,MI,1970-08,4.15,83.33
MACKINAC STRAITS LONG TERM CARE UNIT,MI,1970-08,4.69,97.92
MAJESTIC CARE OF BATTLE CREEK,MI,1970-08,2.87,70.77
MAJESTIC CARE OF FLUSHING,MI,1970-08,3.06,68.57
MAJESTIC CARE OF LIVONIA,MI,1970-08,3,68.31
MANISTEE COUNTY MEDICAL CARE FACILITY,MI,1970-08,3.74,48.96
MAPLE LAWN MEDICAL CARE FACILI,MI,1970-08,4.01,92.11
MAPLE MANOR REHAB CENTER,MI,1970-08,3.99,74.58
MAPLE MANOR REHAB CENTER OF NOVI INC,MI,1970-08,5.12,75.00
MAPLE VALLEY NURSING HOME,MI,1970-08,2.75,96.00
MAPLE WOODS MANOR,MI,1970-08,4.02,70.20
MAPLES BENZIE CO MEDICAL CARE,MI,1970-08,4.49,97.44
MARLETTE COMM HOSP LTCU,MI,1970-08,3.85,87.18
MARQUETTE COUNTY MEDICAL CARE FACILITY,MI,1970-08,5.82,87.86
MARSHALL NURSING AND REHABILITATION COMMUNITY,MI,1970-08,3.56,78.33
MARTHA T BERRY MCF,MI,1970-08,4.42,95.85
MARVIN & BETTY DANTO HEALTH CARE CENTER,MI,1970-08,3.54,68.39
MARWOOD MANOR NURSING HOME,MI,1970-08,3.75,84.17
MARY FREE BED SUB-ACUTE REHABILITATION,MI,1970-08,5.36,85.42
MARYWOOD NURSING CARE CENTER,MI,1970-08,4.36,93.20
MCLAREN LAPEER REGION,MI,1970-08,7.19,52.63
MEADOW BROOK MEDICAL CARE FACILITY,MI,1970-08,4.29,63.16
MEDILODGE AT THE SHORE,MI,1970-08,2.86,87.30
MEDILODGE OF ALPENA,MI,1970-08,3.03,86.36
MEDILODGE OF CAMPUS AREA,MI,1970-08,3.71,66.67
MEDILODGE OF CAPITAL AREA,MI,1970-08,3.22,81.67
MEDILODGE OF CASS CITY,MI,1970-08,2.98,77.50
MEDILODGE OF CHEBOYGAN,MI,1970-08,4.1,72.94
MEDILODGE OF CLARE,MI,1970-08,3.27,76.09
MEDILODGE OF EAST LANSING,MI,1970-08,4.07,66.67
MEDILODGE OF FARMINGTON,MI,1970-08,4.68,55.56
MEDILODGE OF FRANKENMUTH,MI,1970-08,4.45,48.57
MEDILODGE OF GAYLORD,MI,1970-08,4.11,71.88
MEDILODGE OF GRAND BLANC,MI,1970-08,4.62,89.04
MEDILODGE OF GRAND RAPIDS,MI,1970-08,4.35,81.82
MEDILODGE OF GREEN VIEW,MI,1970-08,3.29,94.87
MEDILODGE OF GTC,MI,1970-08,4.4,72.80
MEDILODGE OF HILLMAN,MI,1970-08,4.52,84.62
MEDILODGE OF HOLLAND,MI,1970-08,3.64,89.61
MEDILODGE OF HOWELL,MI,1970-08,3.61,66.99
MEDILODGE OF KALAMAZOO,MI,1970-08,3.56,97.44
MEDILODGE OF LANSING,MI,1970-08,3.03,76.47
MEDILODGE OF LEELANAU,MI,1970-08,3.49,88.89
MEDILODGE OF LIVINGSTON,MI,1970-08,3.67,68.00
MEDILODGE OF LUDINGTON,MI,1970-08,3.28,74.19
MEDILODGE OF MARSHALL,MI,1970-08,4.69,79.59
MEDILODGE OF MIDLAND,MI,1970-08,3.56,72.90
MEDILODGE OF MILFORD,MI,1970-08,2.92,93.69
MEDILODGE OF MONROE,MI,1970-08,3.88,92.23
MEDILODGE OF MONTROSE INC,MI,1970-08,3.7,84.30
MEDILODGE OF MT PLEASANT,MI,1970-08,4.68,63.46
MEDILODGE OF MUNISING,MI,1970-08,3.8,82.22
MEDILODGE OF OKEMOS,MI,1970-08,3.35,83.00
MEDILODGE OF PLYMOUTH,MI,1970-08,3.51,94.87
MEDILODGE OF PORT HURON,MI,1970-08,4.08,85.83
MEDILODGE OF PORTAGE,MI,1970-08,4.06,87.18
MEDILODGE OF RICHMOND,MI,1970-08,3.93,84.13
MEDILODGE OF ROGERS CITY,MI,1970-08,3.96,82.22
MEDILODGE OF SAULT STE MARIE,MI,1970-08,3.15,64.04
MEDILODGE OF SHORELINE,MI,1970-08,3.1,89.29
MEDILODGE OF SOUTHFIELD,MI,1970-08,3.11,77.84
MEDILODGE OF ST CLAIR,MI,1970-08,2.77,69.62
MEDILODGE OF STERLING,MI,1970-08,4.59,97.44
MEDILODGE OF STERLING HEIGHTS,MI,1970-08,3,76.21
MEDILODGE OF TAWAS CITY,MI,1970-08,3.47,72.94
MEDILODGE OF TAYLOR,MI,1970-08,2.88,82.39
MEDILODGE OF TRAVERSE CITY,MI,1970-08,2.9,82.14
MEDILODGE OF WESTWOOD,MI,1970-08,3.69,87.63
MEDILODGE OF WYOMING,MI,1970-08,3.31,93.75
MEDILODGE OF YALE,MI,1970-08,3.11,70.37
MEMORIAL HEALTHCARE CENTER LTC,MI,1970-08,8.13,43.59
MENOMINEE HEALTH SERVICES,MI,1970-08,3.48,87.18
MICHIGAN MASONIC HOME,MI,1970-08,4.88,43.14
MICHIGAN VETERAN HOMES AT GRAND RAPIDS,MI,1970-08,6.28,96.09
MISSION POINT HEALTH CAMPUS OF JACKSON,MI,1970-08,4.02,74.00
MISSION POINT NSG & PHY REHAB CTR OF BEVERLY HILLS,MI,1970-08,2.21,89.58
MISSION POINT NSG & PHY REHAB CTR OF BIG RAPIDS,MI,1970-08,2.15,78.21
MISSION POINT NSG & PHY REHAB CTR OF CEDAR SPRINGS,MI,1970-08,2.48,94.81
MISSION POINT NSG & PHY REHAB CTR OF CLARKSTON,MI,1970-08,3.32,55.83
MISSION POINT NSG & PHY REHAB CTR OF CLAWSON,MI,1970-08,2.35,63.33
MISSION POINT NSG & PHY REHAB CTR OF CLINTON TWP,MI,1970-08,2.78,62.99
MISSION POINT NSG & PHY REHAB CTR OF ELMWOOD,MI,1970-08,2.16,92.50
MISSION POINT NSG & PHY REHAB CTR OF FLINT,MI,1970-08,2.34,70.66
MISSION POINT NSG & PHY REHAB CTR OF FOREST HILLS,MI,1970-08,1.79,89.66
MISSION POINT NSG & PHY REHAB CTR OF GRANDVILLE,MI,1970-08,3.53,56.14
MISSION POINT NSG & PHY REHAB CTR OF GREENVILLE,MI,1970-08,3.6,82.00
MISSION POINT NSG & PHY REHAB CTR OF HANCOCK,MI,1970-08,3.23,73.02
MISSION POINT NSG & PHY REHAB CTR OF HOLLY,MI,1970-08,2.03,83.33
MISSION POINT NSG & PHY REHAB CTR OF ROSCOMMON,MI,1970-08,4.03,74.36
MISSION POINT NSG & PHY REHAB CTR OF WARREN,MI,1970-08,1.76,73.60
MISSION POINT NSG & PHY REHAB CTR OF WOODWARD,MI,1970-08,2.41,64.34
MISSION POINT NSG & PHY REHAB OF SUPERIOR WOODS,MI,1970-08,2.22,88.30
MISSION POINT NSG & PHYSICAL REHAB CTR OF BELDING,MI,1970-08,2.19,78.91
MISSION POINT NSG & PHYSICAL REHAB CTR OF DETROIT,MI,1970-08,2.69,93.22
MISSION POINT NSG & PHYSICAL REHAB CTR OF LAMONT,MI,1970-08,1.84,89.74
MISSION POINT NSG PHY REHAB CTR OF MADISON HEIGHTS,MI,1970-08,2.71,61.69
MONROE SPRINGS SKILLED NURSING AND REHAB,MI,1970-08,3.96,94.38
MUNSON HEALTHCARE CRAWFORD CONTINUING CARE CENTER,MI,1970-08,4.81,64.10
MUNSON HEALTHCARE OTSEGO MEMORIAL HOSPITAL LTCU,MI,1970-08,4.81,70.59
MYMICHIGAN MEDICAL CENTER-SAULT,MI,1970-08,4.8,58.82
NEWAYGO CO MEDICAL CARE FACILI,MI,1970-08,3.73,48.28
NORLITE NURSING CENTER,MI,1970-08,4.16,74.75
NORTH WOODS NURSING CENTER,MI,1970-08,4.48,90.14
NORTHVILLE MANOR,MI,1970-08,3.56,75.68
NOTTING HILL OF WEST BLOOMFIELD,MI,1970-08,3.66,83.90
NOVI LAKES HEALTH CAMPUS,MI,1970-08,3.74,87.04
OAKLAND MANOR NURSING & REHAB CENTER LLC,MI,1970-08,6.23,31.03
OAKLAND NURSING CENTER,MI,1970-08,5.86,73.08
OAKPOINTE SENIOR CARE AND REHAB CENTER,MI,1970-08,3.5,77.44
OAKRIDGE MANOR NURSING & REHAB CENTER LLC,MI,1970-08,3.05,62.50
OAKVIEW MEDICAL CARE FACILITY,MI,1970-08,3.89,77.08
OCEANA CO MD CARE FACILITY,MI,1970-08,5.11,71.30
OMNI CONTINUING CARE,MI,1970-08,3.7,67.65
OPTALIS HEALTH AND REHAB OF DEARBORN HEIGHTS,MI,1970-08,4.23,73.39
OPTALIS HEALTH AND REHAB OF STERLING HEIGHTS,MI,1970-08,4.65,58.90
OPTALIS HEALTH AND REHABILITATION OF ALLEN PARK,MI,1970-08,3.87,63.19
OPTALIS HEALTH AND REHABILITATION OF ANN ARBOR,MI,1970-08,3.73,70.56
OPTALIS HEALTH AND REHABILITATION OF CANTON,MI,1970-08,3.59,46.00
OPTALIS HEALTH AND REHABILITATION OF GRAND RAPIDS,MI,1970-08,4.55,72.00
OPTALIS HEALTH AND REHABILITATION OF GROSSE POINTE,MI,1970-08,3.37,95.00
OPTALIS HEALTH AND REHABILITATION OF KINGSFORD,MI,1970-08,3.2,71.96
OPTALIS HEALTH AND REHABILITATION OF THREE RIVERS,MI,1970-08,3.29,82.00
OPTALIS HEALTH AND REHABILITATION OF TROY,MI,1970-08,4.26,38.75
OPTALIS HEALTH AND REHABILITATION ST FRANCIS,MI,1970-08,3.92,81.91
ORCHARD CREEK SKILLED NURSING,MI,1970-08,4.18,90.91
ORCHARD GROVE HEALTH CAMPUS,MI,1970-08,2.83,98.18
OVID HEALTHCARE CENTER,MI,1970-08,3.25,58.51
PAUL OLIVER MEMORIAL HOSPITAL LTCU,MI,1970-08,7.15,68.57
PINE CREEK MANOR SKILLED NURSING & REHAB CENTER,MI,1970-08,2.9,79.59
PINECREST MEDICAL CARE FACILITY,MI,1970-08,3.81,50.83
PINNACLE CARE OF BATTLE CREEK,MI,1970-08,3.98,54.88
PLAINWELL PINES NURSING AND REHABILITATION COMMUNI,MI,1970-08,2.92,79.49
PLEASANT VIEW SHIAWASSEE COUNTY MED CARE FAC,MI,1970-08,3.67,98.53
POMEROY LIVING ROCHESTER SKILLED REHABILITATION,MI,1970-08,4.43,65.38
POMEROY LIVING STERLING SKILLED REHABILITATION,MI,1970-08,4.06,76.14
PORTAGEPOINTE,MI,1970-08,4.8,98.33
PORTER HILLS HEALTH CENTER,MI,1970-08,3.91,97.44
QUALICARE NURSING HOME,MI,1970-08,2.95,100.00
REGENCY AT BLUFFS PARK,MI,1970-08,3.74,100.00
REGENCY AT CANTON,MI,1970-08,3.27,92.20
REGENCY AT CHENE,MI,1970-08,4.38,83.13
REGENCY AT FREMONT,MI,1970-08,3.15,67.44
REGENCY AT GRAND BLANC,MI,1970-08,3.44,93.48
REGENCY AT LANSING WEST,MI,1970-08,3.52,86.67
REGENCY AT LIVONIA,MI,1970-08,3.59,88.28
REGENCY AT SHELBY TOWNSHIP,MI,1970-08,3.3,93.97
REGENCY AT ST CLAIR SHORES,MI,1970-08,3.25,95.89
REGENCY AT WATERFORD,MI,1970-08,3.78,82.67
REGENCY AT WESTLAND,MI,1970-08,2.64,96.67
REGENCY AT WHITMORE LAKE,MI,1970-08,3.7,80.00
REGENCY HEIGHTS-DETROIT,MI,1970-08,3.93,91.67
REGENCY MANOR NURSING & REHABILITATION CENTER,MI,1970-08,3.53,82.05
REGENCY ON THE LAKE - FORT GRATIOT,MI,1970-08,3.64,93.85
"REGENCY, A VILLA CENTER",MI,1970-08,3.57,81.20
RESTHAVEN CARE CENTER,MI,1970-08,3.33,93.79
RIVERGATE HEALTH CARE CENTER,MI,1970-08,2.79,77.13
RIVERGATE TERRACE,MI,1970-08,3.85,73.26
RIVERIDGE REHABILITATION AND HEALTHCARE CENTER,MI,1970-08,3.14,94.05
RIVERSIDE HEALTHCARE CENTER,MI,1970-08,2.67,94.87
RIVERSIDE NURSING CENTRE,MI,1970-08,2.72,91.18
RIVERVIEW HEALTH & REHAB CENTER,MI,1970-08,4.59,74.88
RIVERVIEW HEALTH AND REHAB CENTER NORTH,MI,1970-08,3.83,66.11
ROOSEVELT PARK NURSING AND REHABILITATION COMMUNIT,MI,1970-08,3.37,100.00
ROUBAL CARE AND REHAB CENTER,MI,1970-08,3.58,94.87
"ROYALTON MANOR, L L C",MI,1970-08,3.94,62.60
"SAGINAW SENIOR CARE AND REHAB CENTER, L L C",MI,1970-08,2.9,94.37
SAMARITAS SENIOR LIVING CADILLAC,MI,1970-08,4.08,54.89
SANILAC MEDICAL CARE FACILITY,MI,1970-08,5.3,70.19
SCHNEPP SENIOR CARE AND REHAB CENTER,MI,1970-08,3.31,95.88
SCHOOLCRAFT MEDICAL CARE FACILITY,MI,1970-08,3.07,67.06
SEACREST REHABILITATION AND NURSING CENTER,MI,1970-08,2.93,67.18
SHEFFIELD MANOR NURSING & REHAB CENTER,MI,1970-08,3.14,80.19
SHELBY CROSSING HEALTH CAMPUS,MI,1970-08,4.81,91.23
SHELBY HEALTH AND REHABILITATION CENTER,MI,1970-08,3.58,83.96
SHOREPOINTE NURSING CENTER,MI,1970-08,3.13,71.00
SKLD BELTLINE,MI,1970-08,2.97,65.93
SKLD BLOOMFIELD HILLS,MI,1970-08,3.91,80.50
SKLD IONIA,MI,1970-08,3.24,63.55
SKLD LEONARD,MI,1970-08,2.86,86.96
SKLD LIVONIA,MI,1970-08,3.05,84.55
SKLD MUSKEGON,MI,1970-08,2.86,82.24
SKLD PLYMOUTH,MI,1970-08,3.83,82.18
SKLD WEST BLOOMFIELD,MI,1970-08,4.7,47.14
SKLD WHITEHALL,MI,1970-08,3.63,61.60
SKLD WYOMING,MI,1970-08,3.17,79.35
SKLD ZEELAND,MI,1970-08,3.35,71.74
SOUTH HAVEN NURSING AND REHABILITATION COMMUNITY,MI,1970-08,3.17,95.71
"SOUTH LYON SENIOR CARE AND REHAB CENTER, L L C",MI,1970-08,2.93,93.24
SPRINGCREEK REHABILITATION AND NURSING CENTER,MI,1970-08,3.73,74.56
ST ANNS HOME,MI,1970-08,4.86,90.91
ST ANTHONY HEALTHCARE CENTER,MI,1970-08,3.54,90.85
"ST JOSEPH'S, A VILLA CENTER",MI,1970-08,3.33,75.15
STONEGATE HEALTH CAMPUS,MI,1970-08,3.68,78.75
STRATFORD PINES NURSING AND REHABILITATION CENTER,MI,1970-08,4.29,81.00
THE LODGE AT TAYLOR,MI,1970-08,3.37,59.70
THE MANOR OF FARMINGTON HILLS,MI,1970-08,4.12,85.83
THE MANOR OF NOVI,MI,1970-08,3.6,75.00
THE NEIGHBORHOODS OF WHITE LAKE,MI,1970-08,4.81,92.31
THE OAKS AT BATTLE CREEK,MI,1970-08,3.45,90.91
THE OAKS AT BELMONT,MI,1970-08,3.6,90.00
THE OAKS AT BYRON CENTER,MI,1970-08,3.78,85.00
THE OAKS AT WOODFIELD,MI,1970-08,4.5,92.19
THE ORCHARDS AT ARMADA,MI,1970-08,2.78,86.57
THE ORCHARDS AT HARPER WOODS,MI,1970-08,3.56,88.08
THE ORCHARDS AT NORTHWEST,MI,1970-08,3.63,75.32
THE ORCHARDS AT REDFORD,MI,1970-08,3.7,87.50
THE ORCHARDS AT ROSEVILLE,MI,1970-08,2.44,69.82
THE ORCHARDS AT SAMARITAN,MI,1970-08,3.12,92.50
THE ORCHARDS AT SOUTHGATE,MI,1970-08,2.87,74.00
THE ORCHARDS AT WARREN,MI,1970-08,4.22,85.82
THE ORCHARDS AT WAYNE,MI,1970-08,3.13,68.16
THE RIVERS HEALTH & REHAB CENTER OF GROSSE POINTE,MI,1970-08,3.09,82.56
THE SPRINGS AT ROCHESTER HILLS REHAB & NURSING CTR,MI,1970-08,3.36,47.62
THE TIMBERS OF CASS COUNTY,MI,1970-08,2.92,97.22
THE VILLA AT CITY CENTER,MI,1970-08,3.04,90.79
THE VILLA AT GREAT LAKES CROSSING,MI,1970-08,4.22,95.83
THE VILLA AT GREEN LAKE ESTATES,MI,1970-08,3.82,92.94
THE VILLA AT PARKRIDGE,MI,1970-08,3.97,77.78
THE VILLA AT ROSE CITY,MI,1970-08,3.07,57.84
THE VILLA AT SILVERBELL ESTATES,MI,1970-08,3.26,78.30
THE VILLA AT THE BAY,MI,1970-08,4.1,66.36
THE VILLA AT THE PARK,MI,1970-08,3.2,94.74
THE VILLA AT TRAVERSE POINT,MI,1970-08,2.38,81.25
THE VILLA AT WEST BRANCH,MI,1970-08,4.02,82.86
THE VILLAGE OF EAST HARBOR,MI,1970-08,4.34,90.20
THE VILLAGES OF LAPEER NURSING & REHABILITATION,MI,1970-08,3.37,68.97
THE WILLOWS AT EAST LANSING,MI,1970-08,3.46,75.38
THE WILLOWS AT HOWELL,MI,1970-08,3.9,82.14
THE WILLOWS AT OKEMOS,MI,1970-08,3.27,88.24
THORNAPPLE MANOR,MI,1970-08,3.74,91.30
"TRANSITIONAL CARE COMMUNITY, LLC",MI,1970-08,6.96,84.62
TUSCOLA COUNTY MEDICAL CARE FACILITY,MI,1970-08,4.85,84.91
VALLEY HEALTH CENTER,MI,1970-08,6.57,80.00
VALLEY VIEW CARE CENTER,MI,1970-08,3.84,91.37
VILLA AT BORGESS PLACE,MI,1970-08,4.28,77.23
VISTA GRANDE VILLA,MI,1970-08,3.81,60.00
WELLBRIDGE OF BRIGHTON,MI,1970-08,3.08,100.00
WELLBRIDGE OF CLARKSTON,MI,1970-08,3.08,85.00
WELLBRIDGE OF FENTON,MI,1970-08,2.99,76.00
WELLBRIDGE OF GRAND BLANC,MI,1970-08,3.49,85.16
"WELLBRIDGE OF NOVI, LLC",MI,1970-08,3.08,87.00
WELLBRIDGE OF PINCKNEY,MI,1970-08,2.82,90.00
WELLBRIDGE OF ROCHESTER HILLS,MI,1970-08,3.22,93.00
"WELLBRIDGE OF ROMEO, LLC",MI,1970-08,3.43,95.16
WELLSPRING LUTHERAN  NURSING AND REHAB SERVICES,MI,1970-08,3.22,63.11
WELLSPRING LUTHERAN SERVICES,MI,1970-08,4.81,56.63
WELLSPRING LUTHERAN SERVICES,MI,1970-08,5,79.49
WEST BLOOMFIELD HEALTH AND REHABILITATION CENTER,MI,1970-08,3.89,69.19
WEST HICKORY HAVEN,MI,1970-08,3.99,72.28
WEST OAKS SENIOR CARE & REHAB CENTER,MI,1970-08,3.49,87.25
WEST WOODS OF BRIDGMAN,MI,1970-08,4.17,79.35
WEST WOODS OF NILES,MI,1970-08,3.97,77.69
WESTGATE NURSING & REHAB COMMUNITY,MI,1970-08,4.11,89.23
WESTLAKE HEALTH CAMPUS,MI,1970-08,3.56,96.72
"WESTLAND, A VILLA CENTER",MI,1970-08,3.01,82.61
WESTWOOD NURSING CENTER,MI,1970-08,1.11,105.56
WILLOWBROOK MANOR,MI,1970-08,4.22,89.23
WINDEMERE PARK HEALTH AND REHAB CENTER,MI,1970-08,3.63,51.09
WOODWARD HILLS HEALTH AND REHABILITATION CTR,MI,1970-08,5.21,75.79
AFTENRO HOME,MN,1970-08,3.14,88.89
AICOTA HEALTH CARE CENTER,MN,1970-08,2.72,69.33
AITKIN HEALTH SERVICES,MN,1970-08,3.27,90.91
ALLINA HEALTH RESTORATIVE SUITES,MN,1970-08,4.89,84.00
ANDREW RESIDENCE,MN,1970-08,2.15,99.06
ANNANDALE CARE CENTER INC,MN,1970-08,3.61,86.67
ANOKA REHABILITATION AND LIVING CENTER,MN,1970-08,4.67,92.50
APPLE VALLEY VILLAGE HEALTH CARE CENTER,MN,1970-08,4.81,93.83
APPLETON AREA HEALTH,MN,1970-08,4.21,89.36
ASSUMPTION HOME,MN,1970-08,4.47,92.11
AUBURN HOME IN WACONIA,MN,1970-08,5.19,86.49
AUBURN MANOR,MN,1970-08,3.88,80.00
AUGUSTANA CARE HASTINGS HEALTH AND REHABILITATION,MN,1970-08,4.43,79.17
AUGUSTANA CHAPEL VIEW CARE CENTER,MN,1970-08,4.68,86.00
AURORA ON FRANCE,MN,1970-08,6.12,95.24
AVERA GRANITE FALLS CARE CENTER,MN,1970-08,3.78,97.92
AVERA MORNINGSIDE HEIGHTS CARE CENTER,MN,1970-08,4.64,96.05
AVERA SUNRISE MANOR,MN,1970-08,3.06,100.00
BARRETT CARE CENTER INC,MN,1970-08,3.72,97.50
BAY VIEW NURSING & REHABILITATION CENTER,MN,1970-08,7.31,45.45
BAYSHORE RESIDENCE AND REHABILITATION CENTER,MN,1970-08,3.62,67.86
BAYSIDE MANOR LLC,MN,1970-08,3,73.81
BELGRADE NURSING HOME,MN,1970-08,4.61,82.35
BENEDICTINE CARE COMMUNITY,MN,1970-08,3.6,89.80
BENEDICTINE HEALTH CENTER,MN,1970-08,4.11,96.88
BENEDICTINE HEALTH CENTER INNSBRUCK,MN,1970-08,3.98,86.67
BENEDICTINE HEALTH CENTER OF MINNEAPOLIS,MN,1970-08,5.69,80.00
BENEDICTINE LIVING COMMUNITY OF ST. PETER,MN,1970-08,4.03,82.28
BETHANY ON THE LAKE LLC,MN,1970-08,3.43,83.13
BETHESDA,MN,1970-08,4.44,91.96
BIGFORK VALLEY COMMUNITIES,MN,1970-08,5.66,42.50
